source,target,value
丁强,庹宗华,2
庹宗华,丁强,2
陈柏霖,金士杰,2
金士杰,陈柏霖,2
黄健玮,吴慷仁,4
黄健玮,班铁翔,2
吴慷仁,黄健玮,4
吴慷仁,班铁翔,2
班铁翔,黄健玮,2
班铁翔,吴慷仁,2
萧淑慎,林鸿翔,2
萧淑慎,丁也恬,2
林鸿翔,萧淑慎,2
林鸿翔,丁也恬,2
丁也恬,萧淑慎,2
丁也恬,林鸿翔,2
刘品言,黄健玮,2
黄健玮,刘品言,2
颜毓麟,谢盈萱,2
颜毓麟,刘冠廷,2
颜毓麟,林意箴,2
谢盈萱,颜毓麟,2
谢盈萱,刘冠廷,2
谢盈萱,林意箴,2
刘冠廷,颜毓麟,2
刘冠廷,谢盈萱,2
刘冠廷,林意箴,2
林意箴,颜毓麟,2
林意箴,谢盈萱,2
林意箴,刘冠廷,2
刘松仁,沈孟生,3
沈孟生,刘松仁,3
许玮甯,吴慷仁,5
许玮甯,黄健玮,3
许玮甯,黄仲昆,2
许玮甯,许时豪,2
吴慷仁,许玮甯,5
吴慷仁,黄仲昆,2
吴慷仁,许时豪,2
黄健玮,许玮甯,3
黄健玮,黄仲昆,2
黄健玮,许时豪,2
黄仲昆,许玮甯,2
黄仲昆,吴慷仁,2
黄仲昆,黄健玮,2
黄仲昆,许时豪,2
许时豪,许玮甯,2
许时豪,吴慷仁,2
许时豪,黄健玮,2
许时豪,黄仲昆,2
樊光耀,吴慷仁,2
吴慷仁,樊光耀,2
吴慷仁,柯淑勤,2
吴慷仁,叶星辰,3
柯淑勤,吴慷仁,2
刘冠廷,叶辰莛,2
叶星辰,吴慷仁,3
叶辰莛,刘冠廷,2
郑元畅,林依晨,3
郑元畅,汪东城,2
林依晨,郑元畅,3
林依晨,汪东城,2
汪东城,郑元畅,2
汪东城,林依晨,2
焦恩俊,邰智源,2
邰智源,焦恩俊,2
柯淑勤,丁强,2
柯淑勤,李璇,2
柯淑勤,林雨宣,3
柯淑勤,林志儒,2
柯淑勤,郭鑫,2
丁强,柯淑勤,2
丁强,李璇,2
丁强,杨谨华,2
丁强,庄心瑜,2
李璇,柯淑勤,2
李璇,丁强,2
李璇,刘品言,2
杨谨华,丁强,2
杨谨华,庄心瑜,2
刘品言,李璇,2
林雨宣,柯淑勤,3
林雨宣,郭鑫,2
庄心瑜,丁强,2
庄心瑜,杨谨华,2
林志儒,柯淑勤,2
郭鑫,柯淑勤,2
郭鑫,林雨宣,2
王识贤,潘仪君,2
潘仪君,王识贤,2
柯淑勤,汪建民,2
汪建民,柯淑勤,2
钮承泽,黄仲昆,2
黄仲昆,钮承泽,2
卢彦泽,范少勋,2
卢彦泽,杨孟霖,2
卢彦泽,施柏宇,2
范少勋,卢彦泽,2
范少勋,杨孟霖,2
范少勋,施柏宇,2
杨孟霖,卢彦泽,2
杨孟霖,范少勋,2
杨孟霖,施柏宇,2
施柏宇,卢彦泽,2
施柏宇,范少勋,2
施柏宇,杨孟霖,2
刘冠廷,吴慷仁,2
吴慷仁,刘冠廷,2
吴慷仁,郭鑫,3
邵昕,丁也恬,2
黄采仪,郭鑫,2
郭鑫,吴慷仁,3
郭鑫,黄采仪,2
谢琼_,丁也恬,2
丁也恬,邵昕,2
丁也恬,谢琼_,2
李康宜,李威,4
李威,李康宜,4
钱韦杉,吴建豪,2
钱韦杉,徐熙媛,2
钱韦杉,蓝正龙,2
吴建豪,钱韦杉,2
吴建豪,徐熙媛,3
吴建豪,蓝正龙,2
徐熙媛,钱韦杉,2
徐熙媛,吴建豪,3
徐熙媛,蓝正龙,2
蓝正龙,钱韦杉,2
蓝正龙,吴建豪,2
蓝正龙,徐熙媛,2
天心,樊光耀,2
席曼宁,黄瑜娴,2
樊光耀,天心,2
黄瑜娴,席曼宁,2
屈中恒,戈伟如,2
