source,target,value
陶大宇,杨羚,3
陶大宇,吴启明,2
陶大宇,欧阳莎菲,2
杨羚,陶大宇,3
杨羚,吴启明,2
杨羚,欧阳莎菲,2
陈安莹,曾江,3
曾江,陈安莹,3
吴启明,陶大宇,2
吴启明,杨羚,2
吴启明,欧阳莎菲,2
欧阳莎菲,陶大宇,2
欧阳莎菲,杨羚,2
欧阳莎菲,吴启明,2
张可颐,刘江,2
张可颐,陈启泰,3
刘江,张可颐,2
刘江,秦煌,10
刘江,陈启泰,2
秦煌,刘江,10
梁葆贞,苏恩磁,4
陈启泰,张可颐,3
陈启泰,刘江,2
苏恩磁,梁葆贞,4
岳华,刘志荣,2
刘志荣,岳华,2
罗嘉良,刘江,3
古天乐,刘江,2
秦沛,刘江,5
刘江,罗嘉良,3
刘江,古天乐,2
刘江,秦沛,5
黄日华,陈安莹,2
黄日华,刘江,4
黄日华,刘丹,4
黄日华,秦煌,4
李若彤,雪梨,2
李若彤,刘江,2
赵学而,黄文标,2
雪梨,李若彤,2
雪梨,刘江,2
黄纪莹,苏恩磁,6
黄纪莹,刘江,4
黄纪莹,蔡国庆,3
黄纪莹,郑家生 ,3
黄纪莹,秦煌,4
黄纪莹,焦雄,3
马清仪,陈安莹,2
马清仪,苏恩磁,3
马清仪,王伟,2
马清仪,冯瑞珍,3
马清仪,郭德信,2
马清仪,邵卓尧,2
马清仪,金兴贤,2
马清仪,虞天伟,3
马清仪,刘桂芳,2
陈安莹,黄日华,2
陈安莹,马清仪,2
陈安莹,苏恩磁,3
陈安莹,刘江,7
陈安莹,王伟,4
陈安莹,冯瑞珍,2
陈安莹,郭德信,4
陈安莹,邵卓尧,4
陈安莹,刘丹,3
陈安莹,金兴贤,2
陈安莹,秦煌,7
陈安莹,虞天伟,3
陈安莹,刘桂芳,3
苏恩磁,黄纪莹,6
苏恩磁,马清仪,3
苏恩磁,陈安莹,3
苏恩磁,刘江,10
苏恩磁,王伟,2
苏恩磁,冯瑞珍,4
苏恩磁,郭德信,6
苏恩磁,邵卓尧,9
苏恩磁,蔡国庆,9
苏恩磁,郑家生 ,3
苏恩磁,金兴贤,2
苏恩磁,秦煌,5
苏恩磁,虞天伟,6
苏恩磁,焦雄,4
苏恩磁,刘桂芳,9
刘江,黄日华,4
刘江,李若彤,2
刘江,雪梨,2
刘江,黄纪莹,4
刘江,陈安莹,7
刘江,苏恩磁,10
刘江,刘丹,4
刘江,蔡国庆,8
刘江,郑家生 ,4
刘江,焦雄,5
王伟,马清仪,2
王伟,陈安莹,4
王伟,苏恩磁,2
王伟,冯瑞珍,4
王伟,郭德信,3
王伟,邵卓尧,3
王伟,金兴贤,3
王伟,虞天伟,4
王伟,刘桂芳,3
冯瑞珍,马清仪,3
冯瑞珍,陈安莹,2
冯瑞珍,苏恩磁,4
冯瑞珍,王伟,4
冯瑞珍,郭德信,3
冯瑞珍,邵卓尧,3
冯瑞珍,金兴贤,2
冯瑞珍,虞天伟,7
冯瑞珍,刘桂芳,8
郭德信,马清仪,2
郭德信,陈安莹,4
郭德信,苏恩磁,6
郭德信,王伟,3
郭德信,冯瑞珍,3
郭德信,邵卓尧,4
郭德信,金兴贤,2
郭德信,虞天伟,4
郭德信,刘桂芳,6
邵卓尧,马清仪,2
邵卓尧,陈安莹,4
邵卓尧,苏恩磁,9
邵卓尧,王伟,3
邵卓尧,冯瑞珍,3
邵卓尧,郭德信,4
邵卓尧,金兴贤,2
邵卓尧,虞天伟,6
邵卓尧,刘桂芳,8
麦长青,马海伦,3
刘丹,黄日华,4
刘丹,陈安莹,3
刘丹,刘江,4
刘丹,秦煌,5
蔡国庆,黄纪莹,3
蔡国庆,苏恩磁,9
蔡国庆,刘江,8
蔡国庆,郑家生 ,7
蔡国庆,秦煌,4
蔡国庆,焦雄,4
郑家生 ,黄纪莹,3
郑家生 ,苏恩磁,3
郑家生 ,刘江,4
郑家生 ,蔡国庆,7
郑家生 ,秦煌,7
郑家生 ,焦雄,4
黄文标,赵学而,2
金兴贤,马清仪,2
金兴贤,陈安莹,2
金兴贤,苏恩磁,2
金兴贤,王伟,3
金兴贤,冯瑞珍,2
金兴贤,郭德信,2
金兴贤,邵卓尧,2
金兴贤,虞天伟,2
金兴贤,刘桂芳,2
马海伦,麦长青,3
秦煌,黄日华,4
秦煌,黄纪莹,4
秦煌,陈安莹,7
秦煌,苏恩磁,5
秦煌,刘丹,5
秦煌,蔡国庆,4
秦煌,郑家生 ,7
秦煌,焦雄,4
虞天伟,马清仪,3
虞天伟,陈安莹,3
虞天伟,苏恩磁,6
虞天伟,王伟,4
虞天伟,冯瑞珍,7
虞天伟,郭德信,4
虞天伟,邵卓尧,6
虞天伟,金兴贤,2
虞天伟,刘桂芳,7
焦雄,黄纪莹,3
焦雄,苏恩磁,4
焦雄,刘江,5
焦雄,蔡国庆,4
焦雄,郑家生 ,4
焦雄,秦煌,4
刘桂芳,马清仪,2
刘桂芳,陈安莹,3
刘桂芳,苏恩磁,9
刘桂芳,王伟,3
刘桂芳,冯瑞珍,8
刘桂芳,郭德信,6
刘桂芳,邵卓尧,8
刘桂芳,金兴贤,2
刘桂芳,虞天伟,7
周家怡,王宗尧,3
周家怡,石修,3
周家怡,汤怡,2
王宗尧,周家怡,3
王宗尧,石修,2
王宗尧,汤怡,3
石修,周家怡,3
石修,王宗尧,2
石修,汤怡,2
骆应钧,梁健平,5
骆应钧,余慕莲,3
梁健平,骆应钧,5
梁健平,余慕莲,7
汤怡,周家怡,2
汤怡,王宗尧,3
汤怡,石修,2
余慕莲,骆应钧,3
余慕莲,梁健平,7
刘青云,邵仲衡,2
邵仲衡,刘青云,2
魏骏杰,钟汉良,2
钟汉良,魏骏杰,2
张国强,鲍方,2
张国强,骆应钧,4
鲍方,张国强,2
鲍方,骆应钧,6
骆应钧,张国强,4
骆应钧,鲍方,6
周润发,吕良伟,4
吕良伟,周润发,4
吴浣仪,万绮雯,2
万绮雯,吴浣仪,2
尹天照,万绮雯,5
万绮雯,尹天照,5
尹天照,杨恭如,5
尹天照,陈启泰,3
尹天照,杜汶泽,3
尹天照,张文慈,4
万绮雯,杨恭如,3
万绮雯,陈启泰,5
万绮雯,杜汶泽,2
万绮雯,张文慈,5
杨恭如,尹天照,5
杨恭如,万绮雯,3
杨恭如,陈启泰,2
杨恭如,杜汶泽,3
杨恭如,张文慈,4
陈启泰,尹天照,3
陈启泰,万绮雯,5
陈启泰,杨恭如,2
陈启泰,杜汶泽,2
陈启泰,张文慈,5
杜汶泽,尹天照,3
杜汶泽,万绮雯,2
杜汶泽,杨恭如,3
杜汶泽,陈启泰,2
杜汶泽,张文慈,2
张文慈,尹天照,4
张文慈,万绮雯,5
张文慈,杨恭如,4
张文慈,陈启泰,5
张文慈,杜汶泽,2
刘玉翠,王伟,2
刘玉翠,冯晓文,3
刘玉翠,鲍方,3
王伟,刘玉翠,2
王伟,冯晓文,2
王伟,鲍方,4
冯晓文,刘玉翠,3
冯晓文,王伟,2
冯晓文,鲍方,2
鲍方,刘玉翠,3
鲍方,王伟,4
鲍方,冯晓文,2
罗嘉良,郭晋安,4
罗嘉良,陈锦鸿,4
罗嘉良,古天乐,3
罗嘉良,吴奇隆,2
罗嘉良,蔡少芬,4
罗嘉良,陈慧珊,3
罗嘉良,汪明荃,2
罗嘉良,秦沛,2
罗嘉良,刘恺威,2
罗嘉良,叶佩雯,2
罗嘉良,惠英红,2
罗嘉良,成奎安,2
郭晋安,罗嘉良,4
郭晋安,陈锦鸿,4
郭晋安,古天乐,3
郭晋安,吴奇隆,2
郭晋安,蔡少芬,3
郭晋安,陈慧珊,3
郭晋安,汪明荃,3
郭晋安,秦沛,4
郭晋安,刘恺威,2
郭晋安,叶佩雯,2
郭晋安,惠英红,2
郭晋安,成奎安,2
陈锦鸿,罗嘉良,4
陈锦鸿,郭晋安,4
陈锦鸿,古天乐,3
陈锦鸿,吴奇隆,2
陈锦鸿,蔡少芬,4
陈锦鸿,陈慧珊,2
陈锦鸿,汪明荃,2
陈锦鸿,秦沛,2
陈锦鸿,刘恺威,2
陈锦鸿,叶佩雯,2
陈锦鸿,惠英红,2
陈锦鸿,成奎安,2
古天乐,罗嘉良,3
古天乐,郭晋安,3
古天乐,陈锦鸿,3
古天乐,吴奇隆,2
古天乐,蔡少芬,2
古天乐,陈慧珊,2
古天乐,汪明荃,2
古天乐,秦沛,3
古天乐,刘恺威,2
古天乐,叶佩雯,2
古天乐,惠英红,2
古天乐,成奎安,2
吴奇隆,罗嘉良,2
吴奇隆,郭晋安,2
吴奇隆,陈锦鸿,2
吴奇隆,古天乐,2
吴奇隆,蔡少芬,2
吴奇隆,陈慧珊,2
吴奇隆,汪明荃,2
吴奇隆,秦沛,2
吴奇隆,刘恺威,2
吴奇隆,叶佩雯,2
吴奇隆,惠英红,2
吴奇隆,成奎安,2
蔡少芬,罗嘉良,4
蔡少芬,郭晋安,3
蔡少芬,陈锦鸿,4
蔡少芬,古天乐,2
蔡少芬,吴奇隆,2
蔡少芬,陈慧珊,5
蔡少芬,汪明荃,2
蔡少芬,秦沛,2
蔡少芬,刘恺威,2
蔡少芬,叶佩雯,2
蔡少芬,惠英红,2
蔡少芬,成奎安,2
陈慧珊,罗嘉良,3
陈慧珊,郭晋安,3
陈慧珊,陈锦鸿,2
陈慧珊,古天乐,2
陈慧珊,吴奇隆,2
陈慧珊,蔡少芬,5
陈慧珊,汪明荃,2
陈慧珊,秦沛,3
陈慧珊,刘恺威,3
陈慧珊,叶佩雯,2
陈慧珊,惠英红,2
陈慧珊,成奎安,2
汪明荃,罗嘉良,2
汪明荃,郭晋安,3
汪明荃,陈锦鸿,2
汪明荃,古天乐,2
汪明荃,吴奇隆,2
汪明荃,蔡少芬,2
汪明荃,陈慧珊,2
汪明荃,秦沛,4
汪明荃,刘恺威,3
