演员,平均分,部数
邓炜伦,9.0,1
汤国明,9.0,1
尹丽玉,9.0,1
_梓_,9.0,1
麦基,9.0,1
刘准,9.0,1
白石千,9.0,1
杨万达,9.0,1
李俊德,9.0,1
欧阳耀伦,9.0,1
岑淑姬,9.0,1
吴曼丽,9.0,1
王文杰,8.9,1
梁祖尧,8.9,1
赵静蓉,8.9,1
方世强,8.9,1
曾保华,8.9,1
黄凯诗,8.8,1
刘克宣,8.8,1
黄成想,8.8,1
姚杰龙,8.8,1
罗立勤,8.8,1
黄韵诗,8.8,1
江_,8.8,1
陈琪琪,8.8,1
梁钦棋,8.8,1
何_雯,8.8,1
胡炯_,8.8,1
梁少秋,8.8,1
沈宝思,8.8,1
雷颖怡,8.8,1
杨子韬,8.8,1
区岳,8.8,1
石云,8.8,1
吕剑光,8.8,1
博君,8.8,1
阙可维,8.8,1
陆希扬,8.8,1
龙志成,8.8,1
何图英,8.8,1
甘国亮,8.75,2
林子祥,8.75,2
吕良伟 Ray Lui,8.7,1
苏韵姿,8.7,1
叶德娴 Deannie Yip,8.7,1
李晋纬　谢月美,8.7,1
陈百强,8.7,1
the pancakes,8.6,1
卢镇业,8.6,1
李心洁,8.6,1
曾淑雅,8.6,1
黄焯言,8.6,1
蔡思韵,8.6,1
孟海,8.6,2
黄磊,8.6,1
张国柱,8.6,1
余香凝,8.6,1
吴启明,8.5,3
胡樱汶,8.5,1
陈宝仪,8.5,1
罗 兰,8.5,1
关朝聪,8.5,1
刘兆璋,8.5,1
黄造时,8.45,2
梁淑庄,8.45,2
方家_,8.4,1
林国雄,8.4,1
陈凯怡,8.4,1
林建明,8.4,3
_丹,8.4,1
刘家聪,8.4,1
朱宝意,8.4,1
陈诗欣,8.4,1
__善,8.4,1
欧阳莎菲,8.4,4
徐_,8.4,1
杜平,8.4,1
胡卓希,8.4,1
卢大伟,8.4,1
朱_,8.4,1
黎_懿,8.4,1
马笑英,8.4,1
谭少瑛,8.37,3
魏秋桦,8.36,5
林海峰,8.35,2
周慧娟,8.35,2
陈桂芬,8.35,2
黄仲昆,8.35,2
陈剑云,8.35,2
庄欣玲,8.35,2
郭伟亮,8.35,2
邓碧云,8.35,2
麦芷谊,8.35,2
石中玉,8.35,2
马敏儿,8.33,4
王宗尧,8.32,5
元武,8.3,1
俞家伦,8.3,1
吕姗,8.3,1
左诗蓓,8.3,1
梁汉成,8.3,1
陈子聪,8.3,1
元_,8.3,1
江倩宁,8.3,1
_敏斌,8.3,1
_康妮,8.3,1
__力,8.3,1
_宇琛,8.3,1
_祖曼,8.3,1
_善_,8.3,1
薛立_,8.3,1
袁弥明,8.3,1
何慕_,8.3,1
彭__,8.3,1
_依彤,8.3,1
林闻恩,8.3,1
张建声,8.3,1
覃恩美,8.3,1
方志驹,8.3,1
邓_玲,8.3,1
陈嘉桓,8.3,1
_蕊霖,8.3,1
廖子妤,8.3,1
颜子菲,8.3,1
许素莹,8.3,1
_佩芝,8.3,1
_曼玉,8.3,1
黄翠仪,8.3,1
黄雪儿,8.3,1
梁皓恩,8.3,1
缪骞人,8.3,1
菁玮,8.3,1
刘香萍,8.3,1
李彩宁,8.3,1
陈美玲,8.3,1
楚湘云,8.3,2
梁淑卿,8.3,1
郑有国,8.3,1
伦志文,8.3,1
罗志强,8.3,1
梁曼仪,8.3,1
钟汉良,8.28,4
黎芷珊,8.25,2
黄心美,8.25,2
郑柏麟,8.23,3
叶佩雯,8.23,3
景黛音,8.23,4
惠天赐,8.22,4
罗国辉,8.2,1
冯允谦,8.2,1
邓汉雄,8.2,1
潘灿良,8.2,5
柳俊江,8.2,1
朱_然,8.2,1
曾美华,8.2,1
江希文,8.2,1
熊德诚,8.2,1
吴声发,8.2,1
龙炳基,8.2,1
潘虹,8.2,2
叶剑峰,8.2,1
欧耀兴,8.2,1
王渝文,8.2,2
龙贯天,8.2,3
梁十一,8.2,1
李道洪,8.18,4
林美华,8.17,3
张瑛,8.15,4
陈立品,8.15,2
蔡洁,8.15,2
倪诗蓓,8.15,2
顾美华,8.15,2
南红,8.14,5
杨群,8.14,5
金兴贤,8.14,8
曾近荣,8.13,3
梁佩玲,8.13,3
詹小楠,8.1,1
区淑贞,8.1,1
阎青妤,8.1,1
林颖娴,8.1,1
叶静,8.1,1
潘卓楠,8.1,1
陈司翰,8.1,1
刘恒宇,8.1,1
_初树,8.1,1
珈颖,8.1,1
王岗,8.1,1
晋松,8.1,1
张玛莉,8.1,1
林子_,8.1,1
林静,8.1,1
于文仲,8.1,1
蔡琼辉,8.1,1
张国立,8.1,1
刘长生,8.1,1
姬麒麟,8.1,1
袁苑,8.1,1
_井弘明,8.1,1
なみきまさと,8.1,1
韩夫一,8.1,1
周子驹,8.1,1
杜玉明,8.1,1
袁丽嫦,8.1,1
苏有朋,8.1,1
严敏裘,8.1,1
张铁林,8.1,1
王刚,8.1,1
刘思彤,8.1,1
乐蓓,8.1,1
李庆祥,8.1,1
郝柏杰,8.1,1
王清河,8.1,2
宝佩如,8.1,3
郭慧,8.1,2
林志豪,8.1,3
恭硕良,8.1,1
杜小乔,8.1,1
马志威,8.1,1
文伟鸿,8.1,1
李丽珍,8.1,3
张国荣,8.1,14
林家_,8.1,1
__泰,8.1,1
陈倩扬,8.1,1
卓韵芝,8.1,1
杨美仪,8.1,1
邝文洵,8.1,1
林伟辰,8.1,1
段伟伦,8.1,1
张崇基,8.1,1
陈少霞,8.1,8
杨羚,8.08,10
余家伦,8.07,3
黄恺欣,8.07,3
许秋怡,8.05,2
陶虹,8.05,2
李泳汉,8.05,2
梁天,8.05,2
方刚,8.05,4
蔡济文,8.05,2
宗扬,8.04,5
游学修,8.03,3
萧玉燕,8.03,3
林正英,8.03,3
陈奕迅,8.03,3
_泉_,8.03,3
张鸿昌,8.03,3
冯德伦,8.03,3
__林,8.03,3
林祖辉,8.02,5
廖骏雄,8.02,4
张国权,8.02,4
陈慧仪,8.02,4
梁碧芝,8.0,3
许碧姬,8.0,3
吴雪雯,8.0,2
麦子乐,8.0,2
黄锦_,8.0,3
布韦杰,8.0,1
苗金凤,8.0,2
陈韵文,8.0,2
林国斌,8.0,2
梁政珏,8.0,1
刘文治 ,8.0,1
柳影虹,8.0,1
文千_,8.0,1
叶云樵,8.0,1
郑家麟,8.0,1
韦辛,8.0,1
林慧妍,8.0,1
苗子_,8.0,1
罗石青,8.0,1
__莉,8.0,1
李昌民,8.0,1
刘纬民,8.0,1
陈明君,8.0,1
梁立寅,8.0,1
梁颖瑜,8.0,1
李添胜,8.0,1
梁雪湄,8.0,1
王启德,8.0,1
_月美,8.0,1
乔安,8.0,1
陈丹丹,8.0,1
周平,8.0,1
_口明日嘉,8.0,1
陈曼玲,8.0,1
邓育_,8.0,1
刘以达,8.0,1
蔡文杰,8.0,1
谷祖琳,8.0,1
林雪,8.0,1
樊志起,8.0,1
张卓楠,8.0,1
吴卓昕,8.0,1
贾妮,8.0,1
马清仪,8.0,4
__燕,8.0,1
李媛媛,8.0,1
金燕玲,8.0,1
邢岷山,8.0,1
徐自贤,8.0,1
胡耀峰,8.0,1
许实贤,8.0,2
李欣_,8.0,1
冼色丽,8.0,1
吴霆,8.0,3
洪雁,8.0,1
刘宗基,8.0,6
杨洛婷,8.0,1
_海怡,8.0,1
李宜,8.0,1
宋文仲,8.0,1
赖慧中,8.0,1
李小宁,8.0,1
左健斌,8.0,1
梁_棋,8.0,1
__全,8.0,1
吴奇隆,8.0,3
冯绍峰,8.0,1
_君_,8.0,1
温丽芳,8.0,1
姚庆康,8.0,1
林佩君,8.0,1
吴国敬,8.0,1
范鸿轩,8.0,2
黎国辉,8.0,1
陈丽云,7.98,8
简佩筠,7.97,3
甘山,7.97,6
刘德凯,7.97,3
雪梨,7.96,14
刘志荣,7.96,5
古天乐,7.96,15
梁咏琪,7.95,2
关之琳,7.95,2
贝安琪,7.95,2
黎诺懿 Lok-Yi Lai,7.95,2
梅艳芳,7.95,2
林熹瞳,7.93,4
黄美棋,7.93,3
董骠,7.93,6
__珊,7.92,4
李影,7.92,4
朱燕珍,7.9,1
袁澧林,7.9,2
唐_,7.9,1
向佐,7.9,1
刘碧仪,7.9,1
_定_,7.9,1
王艳娜,7.9,1
鲍汉琳,7.9,3
曾道美,7.9,1
陈惠瑜,7.9,1
钟淑慧,7.9,3
林小楼,7.9,1
郭追,7.9,1
吴咏红,7.9,2
李若彤,7.9,4
陈秀文,7.9,1
钟嘉欣 Ka-Yan Chung,7.9,1
Bitto,7.9,1
陈豪 Moses Chan,7.9,1
阮兆祥 Louis Yuen,7.9,1
张松枝 Deno Cheung,7.9,1
胡祖儿,7.9,1
庞秋雁,7.9,1
王爱明,7.9,1
黄伟,7.9,1
容惠雯,7.9,1
李丽蕊,7.9,1
汤宝如,7.9,2
高圆圆,7.9,2
张咏咏,7.9,1
贾静雯,7.9,2
李_佳,7.9,1
尔冬升,7.9,1
邹文正,7.9,1
何__,7.9,1
周秀兰,7.9,4
卓_,7.9,1
梁咏琳,7.9,3
杨丽菁,7.9,1
梁鸿华,7.9,1
吴茜薇,7.9,1
_俊明,7.9,1
周子扬,7.9,1
薛纯基,7.9,4
张铮,7.9,2
施思,7.9,1
尹天照,7.89,20
姚正箐,7.88,5
金超群,7.87,3
龙天生,7.87,3
陈燕航,7.87,3
苏杏璇,7.86,9
张敏,7.85,2
樊少皇,7.85,6
阮佩珍,7.85,2
郭妃丽,7.85,2
叶振棠,7.85,2
高妙思,7.85,4
夏文汐,7.85,2
焦恩俊,7.85,4
林映辉,7.84,5
翁美玲,7.84,5
曹众,7.84,5
成奎安,7.83,4
刘美君,7.83,3
万梓良,7.83,18
蔡晓仪,7.82,14
麦景婷,7.82,4
罗慧娟,7.81,7
朱江,7.8,4
郑智_,7.8,1
