剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
最美的青春,2018,巨兴茂,郭靖宇 / 杨勇,刘智扬 / 何雨虹 / 赵恒煊 / 贾宏伟 / 张子文 / 奚望 / 鲁佳妮 / 马赫 / 张胤哲 / 张思乐 / 孙仲秋 / 华娇 / 高明 / 王奎荣 / 张光北 / 陈炜 / 黑子 / 李光复,剧情,中国大陆,36,45,8.4,5612
忽而今夏,2018,吕赢,赵夏盈 / 马郁 / 明前雨后,白宇 / 卜冠今 / 吕鹏 / 张书维 / 杨_ / 方文强 / 刘林 / 侯晴子梓 / 张磊,剧情,中国大陆,30,38,8.3,25444
教室的那一间,2018,贾炳祺,,吴瑞淞 / 蒋袁娅蓉 / 王星玮 / 耿强,喜剧 / 爱情,中国大陆,13,30,8.3,3732
天盛长歌,2018,沈严 / 刘海波,路怡 / 邹越 / 卢菁 / 王佩 / 邱永懿,陈坤 / 倪妮 / 赵立新 / 倪大红 / 袁弘 / 白敬亭 / 张晓晨 / 刘敏涛 / 海一天 / 朱锐 / 修庆 / 于明加 / 尹铸胜 / 胡可 / 李菁菁 / 梅婷 / 昌隆 / 王鸥 / 邓莎,剧情 / 爱情 / 古装,中国大陆,56,45,8.3,113356
假如没有遇见你,2018,杨龙,郎雁平 / 常恒德 / 李洋 / 倪骏 / 徐鸿 / 朱程,彭豆豆 / 邵伟桐 / 邹思扬 / 曹然然 / 李瀚均 / 王润泽 / 张璐瑶 / 王凡 / 林琪 / 谷丰 / 曲少石 / 郝文婷 / 容尔甲 / 安宇,剧情 / 爱情,中国大陆,12,45,8.2,4175
灵与肉,2018,楼健,杨真鉴,于小伟 / 孙茜 / 黄小蕾 / 林鹏 / 赵毅 / 赵立新 / 洪宇宙 / 尚铁龙 / 秦汉 / 丛珊 / 王全有 / 尤勇 / 大宝哥 / 李心敏 / 王伟光 / 石琳 / 吴健 / 王靖云 / 田玲 / 戚云鹏 / 穆怀虎 / 逯长恩,剧情 / 历史,中国大陆,42,45,8.1,1026
面具,2018,楼健 / 顾国良 / 谷石军,王小枪,祖锋 / 梅婷 / 侯勇 / 于明加 / 杜志国 / 句号 / 佳琪,剧情 / 历史,中国大陆,38,40,8,7574
小戏骨：水浒传,2018,潘礼平 / 高翔,,陈荣达 / 葛奕德 / 万君逸 / 郭飞歌 / 李俊豪 / 赵晨翔 / 贾念莹 / 粱哲 / 祁晟原 / 陈禹衡 / 姚奥依 / 蔡嘉诚 / 廖律行 / 马英智 / 彭瑞林 / 余亚颖 / 王若欢 / 杨_奎 / 杨知周 / 赵士添 / 肖杨博涵 / 李_主 / 周冉 / 刘鸿旭 / 李冰城 / 戴豪键 / 陈浩南 / 杜放晓 / 罗自豪,剧情 / 动作 / 儿童 / 历史 / 古装,中国大陆,10,30,8,3493
不过是分手,2018,王梓骏,叶小白,陈思贤 / 马佳慧 / 陈静 / 艾涛 / 周莉莉 / 梅树森,爱情 / 悬疑 / 短片,中国大陆,8,4,7.9,6713
和平饭店,2018,李骏 / 白涛,张莱,陈数 / 雷佳音 / 李光洁 / 陶慧 / 张一龙 / 陈冠宁 / 阎俊希 / 王_兮 / 曹力 / 孔维 / 张帆 / 王烈 / 郭秋成 / 马灿灿 / 王屿 / 王侃,剧情 / 悬疑,中国大陆,42,45,7.9,51470
