剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
倚天屠龙记,1986,王天林,谭_ / 关展博 / ___ / _惠玲 / 李_萍 / _柏能,梁朝伟 / 黎美娴 / 邓萃雯 / 邵美琪 / 郑裕玲 / 任达华 / 曾江 / 鲍方 / 黄韵材 / 龙天生 / 廖启智 / 艾威 / 戴志伟 / 李_佳 / 何__ / 刘兆铭 / 吴家丽 / 黎汉持 / 陶大宇 / 胡美仪 / 蓝天 / 许绍雄 / 朱铁和 / 秦煌 / 廖骏雄 / 麦子云 / 曾玮明 / 张雷 / 梁鸿华 / 麦皓为 / 陈狄克 / 吴茜薇 / 关海山 / 白茵 / 曾华倩 / 李香琴 / 容惠雯 / 黄敏仪 / 罗兰 / 苏杏璇 / 梁爱 / 刘江 / 张英才 / 何壁坚 / 高雄 / 刘丹 / 高妙思 / 陈国权 / 黄新 / 冯国 / 郑家生  / 黎耀祥 / 陈荣峻 / 何贵林 / 谢宁 / 谭炳文 / 刘碧仪 / 叶天行 / 曾慧云 / 吴丽珠 / 骆应钧 / 虞天伟 / 黄一飞 / 杨菁菁 / 焦雄 / 关菁 / 凌汉 / 曾道美 / 罗国维 / 林俊贤 / 陈惠瑜 / 孙季卿 / 林嘉丽 / 郭追 / 石坚 / 刘国诚 / 王书麒 / 陈安莹,剧情 / 动作 / 武侠 / 古装,中国大陆 / 香港,40,42,7.9,2076
一代枭雄,1986,,,王华 / 范冬雨 / 李芸 / 陈观泰 / 夏天 / 古扎丽努尔,动作 / 传记 / 武侠,中国大陆 / 香港,10,,7.8,56
乱世香港,1990,王史创 / 段果平 / 张晓虎,杨白钊,李世轩 / 张青 / 袁玫 / 郭昶 / 程前,,中国大陆 / 香港,40,,7.8,335
雪山飞狐,1991,李朝永,金庸,孟飞 / 龚慈恩 / 伍宇娟 / 慕思成 / 汤镇宗 / 王璐瑶,剧情 / 武侠 / 古装,中国大陆 / 台湾,40,53,7.8,11251
戏说乾隆第二部,1993,范秀明 / 李力安,,郑少秋 / 黎美娴 / 江淑娜,剧情 / 古装,中国大陆 / 香港 / 台湾,20,40,7.4,1626
九命奇冤梁天来,1993,陈树楷,黄浩华,张家辉 / 蔡晓仪 / 邵传勇 / 谭炳文,剧情 / 古装,中国大陆 / 香港,30,,6.9,50
包青天,1993,孙树培,陈文贵 / 温丽芳 / 邓育_ / 陈曼玲 / 蔡文杰,金超群 / 何家劲 / 范鸿轩 / 蔡文杰 / 邓育_ / 陈曼玲 / 周平 / 乔安 / 梁立寅 / 李昌民 / 韦辛 / 叶云樵 / 姚庆康 / 温丽芳 / 李小宁 / 赖慧中 / 宋文仲 / 李宜,剧情 / 历史 / 武侠 / 古装,香港 / 台湾,,47,8,34110
侠义见青天,1994,赖水清,徐达初,刘松仁 / 叶童 / 张世 / 万梓良 / 恬妞 / 谢祖武,武侠,中国大陆 / 香港 / 台湾,40,,7.3,78
厦门新娘,1995,林福地 / 天骐 / 谢一德 / 郭东华/,王中平,廖峻 / 黎燕珊 / 林炜,剧情 / 爱情 / 家庭,中国大陆 / 台湾,40,40,8.2,203
新包青天,1995,陈宇超 / 梁天,阮少娜 / 刘治华 / 钟政良 / 韦辛 / 金超群,金超群 / 范鸿轩 / 吕良伟 / 陈德容 / 苗侨伟 / 蔡晓仪 / 焦恩俊 / 马景涛 / 林心如 / 刘德凯 / 米雪 / 万绮雯,剧情 / 悬疑 / 古装,中国大陆 / 香港,160,40,8.1,518
