演员,平均分,部数
穆泓屹,9.7,1
林海韵,9.7,1
徐光明,9.7,1
肖竹,9.7,1
李婧,9.7,1
安雯,9.6,1
刘继红,9.6,1
李伊,9.6,1
苏秋冬,9.6,1
站爱霞,9.6,1
李志新,9.6,1
姬玉,9.6,1
夏丽蓉,9.6,1
牟一,9.6,1
胡泽红,9.6,1
马广儒,9.6,1
沈璐,9.6,1
夏明辉,9.6,1
王贵娥,9.6,1
欧阳奋强,9.6,1
包志强,9.6,1
毕晨曦,9.6,1
石晓东,9.6,1
藏镜人,9.6,1
谷童,9.6,1
史艳文,9.6,1
张迎玖,9.6,1
陈力,9.6,1
周月,9.6,1
神蛊温皇,9.6,1
王萱,9.6,1
徐丽霞,9.6,1
韩流流,9.6,1
杨小珍,9.6,1
赵亚波,9.5,1
王忠信,9.5,1
张志明,9.5,1
左大玢,9.5,1
朱龙广,9.5,1
汪粤,9.5,1
闫怀礼,9.5,1
耿晓辉,9.45,2
瑞恩·柯万腾,9.4,1
_淑_,9.3,1
孙云昆,9.3,1
吕添尧,9.3,1
崔明浩,9.3,1
张乐昊_,9.3,1
傅晓娜,9.3,1
王瑞虹,9.3,1
胡红燕,9.3,1
雷娟,9.3,1
张艺谋,9.3,1
张昕琦,9.3,1
张昕瑶,9.3,1
兰娟,9.3,1
廖丙炎,9.3,2
夏嘉伟,9.3,1
阚博,9.3,1
李小川,9.3,1
何雨霏,9.3,1
王丹彤,9.3,1
黄岗,9.3,1
张九妹,9.3,1
杨心仪,9.3,1
柳莹,9.3,1
张元戎,9.3,1
金淑媛,9.3,1
魏辰然,9.3,1
马蕾蕾,9.3,1
胡磊,9.3,1
查尔斯·威廉斯,9.3,1
周_甫,9.3,1
邱逸峰,9.3,1
司徒颖霜,9.3,1
饶星星,9.3,1
潘之敏,9.3,1
周厚安,9.3,1
秋琪,9.3,1
蔡力允,9.3,1
欧阳姗,9.3,1
李劭婕,9.3,1
曹驰,9.3,1
曹骋,9.3,1
林锡彪,9.3,1
张新,9.3,1
谢先丽,9.3,1
庄瑾,9.3,1
杨司晨,9.3,1
李潇廷,9.3,1
左浩,9.3,1
李剑平,9.3,1
曹漪姝,9.3,1
顾菲菲,9.3,1
梅关雪,9.3,1
李兆林,9.3,1
沈琳,9.25,2
媛凤,9.25,2
赵一龙,9.25,2
王群英,9.25,2
昃文江,9.2,1
王纪勇,9.2,1
盖晓星,9.2,1
粟峥,9.2,1
张云,9.2,1
宋晓蓉,9.2,1
林惠,9.2,1
杨海宇,9.2,1
李少飞,9.2,1
耿琪,9.2,1
於水,9.2,1
海浪,9.2,1
范燕,9.2,1
林威,9.2,1
徐玉庭,9.2,1
金明,9.2,1
冯鹏飞,9.2,1
焦长道,9.2,1
刘冰峰,9.2,1
李海鸽,9.2,1
冯峥,9.2,1
夏露,9.2,1
赵伊,9.2,1
张润宇,9.2,1
曹海涛,9.2,1
江奇翰,9.2,1
兰晓龙,9.2,1
杨在景,9.2,1
张衍,9.2,1
邓宝,9.2,1
史航,9.2,1
王迎奇,9.2,1
周玉华,9.2,1
钱卫东,9.2,1
楚键,9.2,1
罗旭文,9.2,1
周全,9.2,1
才艺,9.2,1
舒淼,9.2,1
黄荣,9.2,1
梅玫,9.2,1
张登平,9.2,1
欧阳江月,9.2,1
杜岩,9.2,1
姬海鹰,9.2,1
刘淑敏,9.2,1
刘己,9.2,1
巴登,9.2,1
田长青,9.2,1
王曾郅,9.2,1
马云,9.2,1
吴有才,9.2,1
曾丹,9.2,1
沙叶新,9.2,1
兰之光,9.2,1
赵乙丞,9.2,1
邱宇婕,9.2,1
郝春雪,9.2,1
王干一,9.2,1
阮丽丽,9.2,1
钱青青,9.2,1
夏晓昀,9.2,1
康晓熙,9.2,1
叶爽,9.2,1
王乃恩,9.2,1
罗犀子,9.2,1
于本正,9.2,1
周志俊,9.2,1
阮安妮,9.2,1
徐金金,9.2,1
顾也鲁,9.2,1
李天济,9.2,1
任广智,9.2,1
谢洪俊,9.2,1
王又龙,9.2,1
沈星浩,9.2,1
筱翔飞,9.2,1
申怀琪,9.2,1
宋宁奇,9.2,1
杨仲文,9.2,1
袁之远,9.2,1
朱申嘉,9.2,1
麦墨瑞,9.2,1
舒逸宁,9.2,1
陆晖,9.2,1
王彩桦,9.2,1
杨子纯,9.2,1
张建亚,9.2,1
杨烈,9.2,1
李_文,9.2,1
曹健,9.2,1
纪文蕙,9.2,1
吴天戈,9.2,1
金慧珠,9.2,1
张莺,9.2,1
卢广仲,9.2,1
安德宝,9.2,1
范足妹,9.2,1
仲永清,9.2,1
康晋荣,9.2,1
糜子德,9.2,1
今子嫣,9.2,1
阮氏翠恒,9.2,1
林丹青,9.2,1
吴贻弓,9.2,1
严正岚,9.2,1
王玲,9.2,1
陈增无,9.2,1
郑国础,9.2,1
伊娜珂,9.2,1
康志新,9.2,1
詹更新,9.2,1
战鹤文,9.15,2
董祁明,9.15,2
马永,9.1,1
裴秀彬,9.1,1
达瓦央宗,9.1,1
阿部力,9.1,1
姚雯嘉,9.1,1
朗杰央宗,9.1,1
杨联春,9.1,1
何飞,9.1,1
钟秋,9.1,1
黑白郎君,9.1,2
李起厚,9.1,1
尹治,9.1,1
王戎,9.1,2
黄俊雄,9.1,1
郑坤范,9.1,1
王炎冰,9.1,1
田勇,9.1,1
田春山,9.1,1
荣钦,9.1,1
柴孛志,9.1,1
李江,9.1,1
孟耿成,9.1,1
陈增祺,9.1,1
寒丰,9.1,1
袁乃旗,9.1,1
韩建平,9.1,1
常玉平,9.1,1
吴晓波,9.1,1
谢海霞,9.1,1
刘紫璇,9.1,1
李九松,9.1,1
马莉莉,9.1,1
陈星宇,9.1,1
姚佳祺,9.1,1
张泽晨,9.1,1
黄诚越,9.1,1
翟佳,9.1,1
姚琪儿,9.1,1
钱程,9.1,1
释小松,9.1,1
倪迎春,9.1,1
周益伦,9.1,1
上川隆也,9.1,1
仲代达矢,9.1,1
永井真理子,9.1,1
田中好子,9.1,1
陈国庆,9.1,2
史琦,9.1,1
张伟忠,9.1,1
高琳子,9.1,1
张靖晗,9.1,1
卢俊辰,9.1,1
黄林依阳,9.1,1
罗熙怡,9.1,1
艾梦欣,9.1,1
韦梓彤,9.1,1
崔傲菲儿,9.1,1
赵智,9.1,1
钟奕儿,9.1,1
翁馨,9.1,1
周艺,9.1,1
陈舒宜,9.1,1
孙乐颜,9.1,1
林乃桢,9.1,1
李 丽,9.1,1
饭冢雅弓,9.1,1
陈博政,9.1,1
周巧诒,9.1,1
刘怡麟,9.1,1
张思晨,9.1,1
刘芸孜,9.1,1
汪鑫瞳,9.1,1
赵奕琳,9.1,1
梁钦,9.1,1
韩一诺,9.1,1
付馨柔,9.1,1
李卓骞,9.1,1
李芝青,9.1,1
于嘉欣,9.1,1
倪彩萍,9.1,1
陶冰蓝,9.1,1
许艺菲,9.1,1
张良哲,9.1,1
刘戴恩,9.1,1
孙伊雯,9.1,1
王项景浩,9.1,1
杨纳娜,9.1,1
钟熠_,9.1,1
郑可卓颖,9.1,1
周漾_,9.1,1
胡轶珂,9.1,1
班铁翔,9.05,2
陈晓旭,9.05,2
郝戎,9.05,2
吴天明,9.0,1
陈忠实,9.0,1
王天乐,9.0,1
闻频,9.0,1
尹姝贻,9.0,1
李建军,9.0,1
贾樟柯,9.0,1
贾平凹,9.0,1
李野默,9.0,1
岑淑姬,9.0,1
欧阳耀伦,9.0,1
邓炜伦,9.0,1
尹丽玉,9.0,1
吴曼丽,9.0,1
路遥,9.0,1
潘石屹,9.0,1
_梓_,9.0,1
王余阳,9.0,1
博超,9.0,1
王俊鹏,9.0,1
刘辉,9.0,1
闫以昌,9.0,1
贺云庆,9.0,1
张太龙,9.0,1
丁嘉兰,9.0,1
罗天佑,9.0,1
高海成,9.0,1
孙建江,9.0,1
孙乐天,9.0,1
李俊德,9.0,1
张美琪,9.0,1
国立刚,9.0,1
天笑,9.0,1
宁小花,9.0,1
杨万达,9.0,1
高果,9.0,1
于京京,9.0,1
刘准,9.0,1
鹿昊,9.0,1
刘宣,9.0,1
张兆忠,9.0,1
廖东力,9.0,1
李胜强,9.0,1
杨凯迪,9.0,1
岳士涵,9.0,1
吴文_,9.0,1
周军,9.0,1
高梓刚,9.0,1
朱军,9.0,1
何勇生,9.0,1
赵波,9.0,1
王剑明,9.0,1
魏华,9.0,1
朱梓郡,9.0,1
曾子建,9.0,1
王运生,9.0,1
闫沛,9.0,1
雪菲,9.0,1
王嘉浩,9.0,1
刘天蔚,9.0,1
张栋栋,9.0,1
郭旭,9.0,1
张柏鑫,9.0,2
刘意,9.0,1
曹永祥,9.0,1
姚长安,9.0,1
朱祺隆,9.0,1
季天赋,9.0,1
张延平,9.0,1
李晨雨,9.0,1
陈嫣嫣,9.0,1
王超荧,9.0,1
林佳妮,9.0,1
蒲心玉,9.0,1
陈斌,9.0,1
徐立起,9.0,1
曾凡强,9.0,1
周萍,9.0,1
凌琳,9.0,1
黄亚波,9.0,1
靳鹏,9.0,1
杜明明,9.0,1
穆怀伟,9.0,1
谢荐,9.0,1
马小矛,9.0,1
刘大印,9.0,1
傅丽云,9.0,1
_芳,9.0,1
张美瑶,9.0,2
石乃文,9.0,1
尤秋兴,9.0,1
史俊威,9.0,1
谢馨仪,9.0,1
龚钰祺,9.0,1
吴青峰,9.0,1
刘家凯,9.0,1
何景扬,9.0,1
陈靖婕,9.0,1
陈大中,9.0,1
邓志鸿,9.0,1
白穆,9.0,1
解月,9.0,1
张谊,9.0,1
胡珊珊,9.0,1
刘挺,9.0,1
关德俊,9.0,1
李小雷,9.0,1
白杨,9.0,1
韩夫,9.0,1
汤国明,9.0,1
赵学贤,9.0,1
朱光有,9.0,1
张慧兰,9.0,1
关一,9.0,1
刘建仁,9.0,1
