剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
香港香港之霸王_姬,1981,罗启锐,李碧华,岳华 / 余家伦 / 樊少皇,剧情 / 爱情 / 历史 / 戏曲,香港,2,45,9.3,5043
大时代,1992,韦家辉,关静雯 / 关静云 / 方世强 / 陈宝燕 / 伍立光 / 张莉莉 / 龙文康 / 陈宝华 / 张宝燕,郑少秋 / 刘青云 / 周慧敏 / 郭蔼明 / 李丽珍 / 蓝洁瑛 / 邵仲衡 / 欧阳莎菲 / 陶大宇 / 吴启明 / 刘松仁 / 杨羚 / 林保怡 / 吴咏红,剧情,香港,40,45,9.2,34478
男亲女爱,2000,徐正康,冼少玲 / 林忠邦 / 鲍伟聪 / 林少枝,郑裕玲 / 黄子华,喜剧,香港,50,40,9.2,10459
大地恩情,1980,李兆熊 / 徐小明,徐小明 / 杨锦泉 / 李元科 / 李兆华,刘志荣 / 余安安 / 潘志文 / 董骠 / 鲍起静 / 岳华 / 张瑛,剧情,香港,70,,9.2,311
射雕英雄传,1983,王天林 / 杜琪峰,张华标 / 陈翘英 / 金庸,黄日华 / 翁美玲 / 苗侨伟 / 杨盼盼 / 曾江 / 刘丹 / 李司棋 / 谢贤 / 戴志伟 / 黄造时 / 惠天赐 / 陈秀珠 / 黄韵材 / 刘江 / 秦沛 / 夏雨 / 石坚 / 关海山 / 黄文慧 / 杨泽霖 / 刘兆铭 / 秦煌 / 曾庆瑜 / 陈安莹 / 张雷,剧情 / 动作 / 武侠 / 古装,香港,59,42,9.1,45135
巾帼枭雄之义海豪情,2010,李添胜,张华标 / 陈静仪,邓萃雯 / 黎耀祥 / 岳华 / 黄浩然 / 陈法拉 / 敖嘉年 / 胡定欣 / 谢雪心 / 惠英红 / 金刚 / 黄智贤 / 张松枝 / 鲁振顺 / 姚莹莹 / 江美仪 / 麦长青 / 马海伦,剧情 / 历史,香港,32,45,9.1,28814
神雕侠侣,1995,李添胜,黄国辉 / 赵静蓉 / 金庸,古天乐 / 李若彤 / 李绮虹 / 张可颐 / 雪梨 / 傅明宪 / 张翼 / 陈启泰 / 黎汉持 / 黎耀祥 / 刘江 / 魏秋桦,爱情 / 武侠 / 古装,香港,32,45,9,90149
我和春天有个约会,1995,叶昭仪,杜国威 / 蔡婷婷 / 陈十三 / 文健辉 / 何永年 / 刘俊贤 / 陈健梁 / 沐清华 / 宗扬 / 谭炳文 / 梁珊 / 田蕊妮 / 陈靖允 / 南红,邓萃雯 / 蔡晓仪 / 万绮雯 / 商天娥 / 江华 / 叶振棠 / 林祖辉 / 蔡济文 / 白石千 / 宗扬 / 龙贯天 / 谭炳文 / 梁珊 / 鲍起静 / 陈丽云 / 李道洪 / 陈靖允 / 杨泽霖 / 田蕊妮 / 宝佩如 / 庄欣玲 / 麦基 / 秦启维 / 谭少瑛 / 南红 / 李妮 / 汤国明 / 甘山 / 吴浣仪 / 江图 / 饶芷昀 / 尹天照 / 欧阳耀伦 / 丁子峻 / 周兆麟 / 关伟伦 / 邓炜伦 / 尹丽玉 / 吴曼丽 / 岑淑姬 / 林美华 / 李俊德 / 吴霆 / 刘宗基 / 杨万达 / 王清河 / 石中玉 / 刘准 / 陈剑云,剧情 / 爱情,香港,40,45,9,21290
少年五虎,1993,王心慰,陈宝华,朱茵 / 洪欣 / 魏骏杰 / 钟汉良 / 朱健钧 / 苏永康 / 阮兆祥 / 陶大宇 / 杨羚 / 陈安莹 / 樊亦敏 / 黄恺欣 / _泉_ / 陈慧仪 / __珊 / 罗利期 / 夏萍 / 曾江 / __珊 / 胡枫 / __林 / 王伟 / 叶振声 / 梁葆贞 / 曾近荣 / 谭倩红 / 林映辉 / 黄泽锋 / 金兴贤 / 吴启明 / 郭德信 / 祝文君 / 陈曼娜 / 马清仪 / 邓英敏 / 苏恩磁 / 欧阳莎菲 / 邓煜荣 / 虞天伟 / 麦皓为 / 刘桂芳 / 冯瑞珍 / _梓_ / 邵卓尧 / 徐广林,剧情,香港,20,43,9,242
难兄难弟,1997,澍佳,赵静蓉 / 方世强 / 曾保华 / 戴德广,吴镇宇 / 罗嘉良 / 张可颐 / 宣萱 / 林晓峰 / 滕丽名 / 赵静蓉 / 方世强 / 曾保华 / 黄纪莹 / 梁咏琳 / 郭少芸 / 刘江 / 白茵 / 骆达华 / 秦煌 / 梁葆贞 / 冯素波 / 蔡国庆 / 陈启泰 / 焦雄 / 郑家生  / 罗莽 / 罗浩楷 / 黎彼得 / 苏恩磁 / 戴耀明,剧情 / 喜剧,香港,25,45,8.9,13872
浮生六劫,1980,李兆雄,,岳华 / 陈秀雯 / 张国荣 / 魏秋桦 / 马敏儿 / 刘志荣 / 万梓良 / 周慧娟 / 柳影红 / 梁淑庄,剧情,香港,76,60,8.9,278
玛嘉烈与大卫,2016,Fatball / 25,黄绮琳 / 南方舞厅,林保怡 / 周家怡 / 廖碧儿 / 潘灿良 / 汤怡 / 王文杰 / 游学修 / 孟海 / 王宗尧 / 林耀声 / 葛民辉 / 赵学而 / 曾江 / 梁祖尧 / 河国荣 / 黄文标 / 石修,剧情 / 爱情,香港,26,24,8.9,12873
创世纪1：地产风云,1999,戚其义,周旭明 / 欧冠瑛 / 司徒锦源 / 梁敏华 / 汤健萍,罗嘉良 / 陈锦鸿 / 郭晋安 / 古天乐 / 郭可盈 / 蔡少芬 / 陈慧珊 / 汪明荃 / 秦沛 / 吴奇隆 / 刘恺威 / 叶佩雯 / 惠英红 / 成奎安 / 刘江 / 王敏德  / 林_,剧情,香港,51,43,8.9,25873
上海滩,1980,招振强,古兆奉 / 陈翘英,周润发 / 赵雅芝 / 吕良伟 / 刘丹 / 汤镇业 / 林建明 / 廖启智 / 景黛音 / 陈立品,剧情 / 爱情,香港,25,45,8.9,15926
执到宝,1980,甘国亮,甘国亮,甘国亮 / 林子祥 / 欧阳佩珊 / 黄韵诗 / 刘克宣 / 冯淬帆 / 陈琪琪,喜剧 / 悬疑,香港,9,67,8.8,88
天龙八部,1997,李添胜,金庸 / 梁咏梅,黄日华 / 陈浩民 / 樊少皇 / 李若彤 / 赵学而 / 刘玉翠 / 刘锦玲 / 张国强 / 潘志文 / 何美钿 / 招石文 / 李国麟 / 雪梨 / 黄纪莹 / 吕有慧 / 冯晓文 / 李桂英 / 马清仪 / 赵静仪 / 陈安莹 / 苏恩磁 / 李成昌 / 刘江 / 王伟 / 冯瑞珍 / 陈燕航 / 郭德信 / 陈荣峻 / 江汉 / 温双燕 / 李鸿杰 / 骆应钧 / 廖骏雄 / 麦子云 / 邵卓尧 / 麦长青 / 梁健平 / 梁钦棋 / 陈狄克 / 罗君左 / 余慕莲 / 李龙基 / 刘丹 / 蔡国庆 / 陈中坚 / 凌汉 / 区岳 / 何图英 / 黄新 / 李耀敬 / 曹济 / 梁少秋 / 邱万城 / 郑家生  / 孙季卿 / 吕剑光 / 石云 / 曾健明 / 何壁坚 / 龙志成 / 李海生 / 罗国维 / 艾威 / 鲍方 / 薛纯基 / 郭卓桦 / 沈宝思 / 黄文标 / 金兴贤 / 谈泉庆 / 马海伦 / 张鸿昌 / 郑雷 / 关菁 / 李丽丽 / 秦煌 / 李子奇 / 虞天伟 / 罗兰 / 华忠男 / 郑柏麟 / 张英才 / 博君 / 谭一清 / 杨子韬 / 古明华 / 张汉斌 / 李炜祺 / 王伟梁 / 马蹄露 / 阙可维 / 陆希扬 / 陈楚翘 / 雷颖怡 / 伍慧珊 / 黄凯诗 / 黄仲匡 / 黄成想 / 魏惠文 / 邝佐辉 / 伍文生 / 麦嘉伦 / 邓汝超 / 李煌生 / 焦雄 / 刘桂芳 / 蒋克 / 汤俊明 / 姚杰龙 / 萧玉燕 / 罗立勤 / 王维德,剧情 / 武侠 / 古装,香港,45,45,8.8,74952
金枝欲孽,2004,戚其义,周旭明,邓萃雯 / 黎姿 / 张可颐 / 佘诗曼 / 林保怡 / 陈豪 / 梁_ / 陈秀珠 / 陈鸿烈 / 韦家雄 / 黄德斌 / 简慕华,剧情,香港,30,45,8.8,73495
导火新闻线,2015,方俊_,潘漫红 / 阮美_ / 何_中 / 霍婉君 / _安培,梁小冰 / 周家怡 / 杨淇 / 王宗尧 / 姜文杰 / 杨天经 / 郭锋 / 林熹瞳 / 石修 / 骆应钧 / 陈颖妍 / 李枫 / 梁健平 / 李忠希 / 汤怡 / 何_雯 / 黄美棋 / 江_ / 陆骏光 / 余慕莲 / 胡炯_ / 丁乐锶,剧情,香港,24,50,8.8,2069
