source,target,value
陶大宇,杨羚,3
杨羚,陶大宇,3
陈安莹,曾江,3
曾江,陈安莹,3
张可颐,陈启泰,3
刘江,秦煌,10
秦煌,刘江,10
梁葆贞,苏恩磁,4
陈启泰,张可颐,3
苏恩磁,梁葆贞,4
罗嘉良,刘江,3
秦沛,刘江,5
刘江,罗嘉良,3
刘江,秦沛,5
黄日华,刘江,4
黄日华,刘丹,4
黄日华,秦煌,4
黄纪莹,苏恩磁,6
黄纪莹,刘江,4
黄纪莹,蔡国庆,3
黄纪莹,郑家生 ,3
黄纪莹,秦煌,4
黄纪莹,焦雄,3
马清仪,苏恩磁,3
马清仪,冯瑞珍,3
马清仪,虞天伟,3
陈安莹,苏恩磁,3
陈安莹,刘江,7
陈安莹,王伟,4
陈安莹,郭德信,4
陈安莹,邵卓尧,4
陈安莹,刘丹,3
陈安莹,秦煌,7
陈安莹,虞天伟,3
陈安莹,刘桂芳,3
苏恩磁,黄纪莹,6
苏恩磁,马清仪,3
苏恩磁,陈安莹,3
苏恩磁,刘江,10
苏恩磁,冯瑞珍,4
苏恩磁,郭德信,6
苏恩磁,邵卓尧,9
苏恩磁,蔡国庆,9
苏恩磁,郑家生 ,3
苏恩磁,秦煌,5
苏恩磁,虞天伟,6
苏恩磁,焦雄,4
苏恩磁,刘桂芳,9
刘江,黄日华,4
刘江,黄纪莹,4
刘江,陈安莹,7
刘江,苏恩磁,10
刘江,刘丹,4
刘江,蔡国庆,8
刘江,郑家生 ,4
刘江,焦雄,5
王伟,陈安莹,4
王伟,冯瑞珍,4
王伟,郭德信,3
王伟,邵卓尧,3
王伟,金兴贤,3
王伟,虞天伟,4
王伟,刘桂芳,3
冯瑞珍,马清仪,3
冯瑞珍,苏恩磁,4
冯瑞珍,王伟,4
冯瑞珍,郭德信,3
冯瑞珍,邵卓尧,3
冯瑞珍,虞天伟,7
冯瑞珍,刘桂芳,8
郭德信,陈安莹,4
郭德信,苏恩磁,6
郭德信,王伟,3
郭德信,冯瑞珍,3
郭德信,邵卓尧,4
郭德信,虞天伟,4
郭德信,刘桂芳,6
邵卓尧,陈安莹,4
邵卓尧,苏恩磁,9
邵卓尧,王伟,3
邵卓尧,冯瑞珍,3
邵卓尧,郭德信,4
邵卓尧,虞天伟,6
邵卓尧,刘桂芳,8
麦长青,马海伦,3
刘丹,黄日华,4
刘丹,陈安莹,3
刘丹,刘江,4
刘丹,秦煌,5
蔡国庆,黄纪莹,3
蔡国庆,苏恩磁,9
蔡国庆,刘江,8
蔡国庆,郑家生 ,7
蔡国庆,秦煌,4
蔡国庆,焦雄,4
郑家生 ,黄纪莹,3
郑家生 ,苏恩磁,3
郑家生 ,刘江,4
郑家生 ,蔡国庆,7
郑家生 ,秦煌,7
郑家生 ,焦雄,4
金兴贤,王伟,3
马海伦,麦长青,3
秦煌,黄日华,4
秦煌,黄纪莹,4
秦煌,陈安莹,7
秦煌,苏恩磁,5
秦煌,刘丹,5
秦煌,蔡国庆,4
秦煌,郑家生 ,7
秦煌,焦雄,4
虞天伟,马清仪,3
虞天伟,陈安莹,3
虞天伟,苏恩磁,6
虞天伟,王伟,4
虞天伟,冯瑞珍,7
虞天伟,郭德信,4
虞天伟,邵卓尧,6
虞天伟,刘桂芳,7
焦雄,黄纪莹,3
焦雄,苏恩磁,4
焦雄,刘江,5
焦雄,蔡国庆,4
焦雄,郑家生 ,4
焦雄,秦煌,4
刘桂芳,陈安莹,3
刘桂芳,苏恩磁,9
刘桂芳,王伟,3
刘桂芳,冯瑞珍,8
刘桂芳,郭德信,6
刘桂芳,邵卓尧,8
刘桂芳,虞天伟,7
周家怡,王宗尧,3
周家怡,石修,3
王宗尧,周家怡,3
王宗尧,汤怡,3
石修,周家怡,3
骆应钧,梁健平,5
骆应钧,余慕莲,3
梁健平,骆应钧,5
梁健平,余慕莲,7
汤怡,王宗尧,3
余慕莲,骆应钧,3
余慕莲,梁健平,7
张国强,骆应钧,4
鲍方,骆应钧,6
骆应钧,张国强,4
骆应钧,鲍方,6
周润发,吕良伟,4
吕良伟,周润发,4
尹天照,万绮雯,5
万绮雯,尹天照,5
尹天照,杨恭如,5
尹天照,陈启泰,3
尹天照,杜汶泽,3
尹天照,张文慈,4
万绮雯,杨恭如,3
万绮雯,陈启泰,5
万绮雯,张文慈,5
杨恭如,尹天照,5
杨恭如,万绮雯,3
杨恭如,杜汶泽,3
杨恭如,张文慈,4
陈启泰,尹天照,3
陈启泰,万绮雯,5
陈启泰,张文慈,5
杜汶泽,尹天照,3
杜汶泽,杨恭如,3
张文慈,尹天照,4
张文慈,万绮雯,5
张文慈,杨恭如,4
张文慈,陈启泰,5
刘玉翠,冯晓文,3
刘玉翠,鲍方,3
王伟,鲍方,4
冯晓文,刘玉翠,3
鲍方,刘玉翠,3
鲍方,王伟,4
罗嘉良,郭晋安,4
罗嘉良,陈锦鸿,4
罗嘉良,古天乐,3
罗嘉良,蔡少芬,4
罗嘉良,陈慧珊,3
郭晋安,罗嘉良,4
郭晋安,陈锦鸿,4
郭晋安,古天乐,3
郭晋安,蔡少芬,3
郭晋安,陈慧珊,3
郭晋安,汪明荃,3
郭晋安,秦沛,4
陈锦鸿,罗嘉良,4
陈锦鸿,郭晋安,4
陈锦鸿,古天乐,3
陈锦鸿,蔡少芬,4
古天乐,罗嘉良,3
古天乐,郭晋安,3
古天乐,陈锦鸿,3
古天乐,秦沛,3
蔡少芬,罗嘉良,4
蔡少芬,郭晋安,3
蔡少芬,陈锦鸿,4
蔡少芬,陈慧珊,5
陈慧珊,罗嘉良,3
陈慧珊,郭晋安,3
陈慧珊,蔡少芬,5
陈慧珊,秦沛,3
陈慧珊,刘恺威,3
汪明荃,郭晋安,3
汪明荃,秦沛,4
汪明荃,刘恺威,3
秦沛,郭晋安,4
秦沛,古天乐,3
秦沛,陈慧珊,3
秦沛,汪明荃,4
秦沛,惠英红,3
刘恺威,陈慧珊,3
刘恺威,汪明荃,3
惠英红,秦沛,3
骆应钧,刘丹,6
刘丹,骆应钧,6
王宗尧,潘灿良,3
潘灿良,王宗尧,3
黎耀祥,邓萃雯,3
黎耀祥,胡定欣,9
黎耀祥,岳华,3
黎耀祥,谢雪心,4
黎耀祥,惠英红,3
邓萃雯,黎耀祥,3
邓萃雯,商天娥,5
商天娥,邓萃雯,5
胡定欣,黎耀祥,9
胡定欣,岳华,4
胡定欣,谢雪心,4
胡定欣,惠英红,3
岳华,黎耀祥,3
岳华,胡定欣,4
岳华,谢雪心,5
谢雪心,黎耀祥,4
谢雪心,胡定欣,4
谢雪心,岳华,5
惠英红,黎耀祥,3
惠英红,胡定欣,3
陈安莹,罗兰,6
陈安莹,李海生,3
陈安莹,罗君左,4
罗兰,陈安莹,6
罗兰,李海生,3
罗兰,刘江,10
罗兰,马海伦,5
罗兰,罗君左,6
李海生,陈安莹,3
李海生,罗兰,3
李海生,刘江,8
李海生,马海伦,6
李海生,罗君左,5
刘江,罗兰,10
刘江,李海生,8
刘江,马海伦,4
刘江,罗君左,4
马海伦,罗兰,5
马海伦,李海生,6
马海伦,刘江,4
马海伦,罗君左,4
罗君左,陈安莹,4
罗君左,罗兰,6
罗君左,李海生,5
罗君左,刘江,4
罗君左,马海伦,4
陶大宇,陈美琪,3
陈美琪,陶大宇,3
江华,万绮雯,4
万绮雯,江华,4
尹天照,蔡晓仪,4
蔡晓仪,尹天照,4
黄浩然,鲁振顺,3
罗兰,李成昌,5
鲁振顺,黄浩然,3
李成昌,罗兰,5
黄日华,刘锦玲,3
江华,蔡晓仪,5
江华,鲍起静,4
蔡晓仪,江华,5
蔡晓仪,鲍起静,5
蔡晓仪,谭炳文,3
刘锦玲,黄日华,3
鲍起静,江华,4
鲍起静,蔡晓仪,5
鲍起静,谭炳文,5
谭炳文,蔡晓仪,3
谭炳文,鲍起静,5
温兆伦,邵美琪,4
邵美琪,温兆伦,4
罗嘉良,宣萱,5
罗嘉良,张可颐,4
宣萱,罗嘉良,5
宣萱,张可颐,4
古天乐,张可颐,3
张可颐,罗嘉良,4
张可颐,宣萱,4
张可颐,古天乐,3
李国麟,古明华,5
李国麟,李鸿杰,3
古明华,李国麟,5
古明华,李鸿杰,8
李鸿杰,李国麟,3
李鸿杰,古明华,8
古天乐,宣萱,7
宣萱,古天乐,7
宣萱,滕丽名,6
佘诗曼,陈秀珠,3
陈秀珠,佘诗曼,3
滕丽名,宣萱,6
毛舜筠,黎耀祥,3
黎耀祥,毛舜筠,3
陈秀雯,张国荣,3
张国荣,陈秀雯,3
南红,谭炳文,4
谭炳文,南红,4
谭炳文,李香琴,6
李香琴,谭炳文,6
黄日华,伍咏薇,4
黄日华,李香琴,4
任达华,李香琴,5
伍咏薇,黄日华,4
李香琴,黄日华,4
李香琴,任达华,5
郑少秋,郭蔼明,3
郑少秋,陈松伶,3
郑伊健,陈松伶,5
郭蔼明,郑少秋,3
陈松伶,郑少秋,3
陈松伶,郑伊健,5
黄日华,曾江,3
曾江,黄日华,3
李国麟,苏恩磁,6
李国麟,张汉斌,4
李国麟,马蹄露,5
苏恩磁,李国麟,6
苏恩磁,张汉斌,6
苏恩磁,马蹄露,5
张汉斌,李国麟,4
张汉斌,苏恩磁,6
张汉斌,马蹄露,3
马蹄露,李国麟,5
马蹄露,苏恩磁,5
马蹄露,张汉斌,3
陶大宇,郭可盈,4
陶大宇,郭蔼明,3
陶大宇,梁荣忠,4
陶大宇,苏玉华,3
陶大宇,苏杏璇,3
郭可盈,陶大宇,4
郭可盈,梁荣忠,3
郭可盈,苏玉华,3
郭可盈,楼南光,3
郭蔼明,陶大宇,3
梁荣忠,陶大宇,4
梁荣忠,郭可盈,3
梁荣忠,苏玉华,3
苏玉华,陶大宇,3
苏玉华,郭可盈,3
苏玉华,梁荣忠,3
楼南光,郭可盈,3
苏杏璇,陶大宇,3
林保怡,陈慧珊,5
林保怡,陈美琪,5
陈慧珊,林保怡,5
陈慧珊,陈美琪,3
陈美琪,林保怡,5
陈美琪,陈慧珊,3
陶大宇,林保怡,6
吴启华,陈慧珊,5
吴启华,蔡少芬,5
吴启华,林保怡,4
陈慧珊,吴启华,5
蔡少芬,吴启华,5
蔡少芬,林保怡,5
蔡少芬,马浚伟,4
林保怡,陶大宇,6
林保怡,吴启华,4
林保怡,蔡少芬,5
林保怡,马浚伟,3
马浚伟,蔡少芬,4
马浚伟,林保怡,3
万梓良,张国荣,3
张国荣,万梓良,3
张国荣,马敏儿,3
马敏儿,张国荣,3
黄日华,苗侨伟,5
黄日华,关海山,4
苗侨伟,黄日华,5
苗侨伟,刘丹,5
苗侨伟,关海山,4
石修,郑裕玲,3
刘丹,苗侨伟,5
刘丹,关海山,8
郑裕玲,石修,3
关海山,黄日华,4
关海山,苗侨伟,4
关海山,刘丹,8
刘松仁,杨恭如,4
杨恭如,刘松仁,4
周润发,任达华,6
周润发,李香琴,3
周润发,谭炳文,3
郑裕玲,关海山,3
任达华,周润发,6
任达华,骆应钧,4
任达华,谭炳文,3
黄新,骆应钧,3
黄新,罗兰,4
黄新,焦雄,4
黄新,何壁坚,7
李香琴,周润发,3
李香琴,南红,3
关海山,郑裕玲,3
关海山,石坚,5
骆应钧,任达华,4
骆应钧,黄新,3
骆应钧,罗兰,4
骆应钧,焦雄,4
骆应钧,何壁坚,4
罗兰,黄新,4
罗兰,骆应钧,4
罗兰,焦雄,4
罗兰,何壁坚,4
焦雄,黄新,4
焦雄,骆应钧,4
焦雄,罗兰,4
焦雄,何壁坚,4
谭炳文,周润发,3
谭炳文,任达华,3
南红,李香琴,3
何壁坚,黄新,7
何壁坚,骆应钧,4
何壁坚,罗兰,4
何壁坚,焦雄,4
石坚,关海山,5
汤怡,陆骏光,3
戴志伟,张雷,3
陈丽云,吴浣仪,4
张雷,戴志伟,3
郭政鸿,张国强,3
陆骏光,汤怡,3
陆骏光,杨天经,3
吴浣仪,陈丽云,4
刘玉翠,张国强,3
张国强,郭政鸿,3
张国强,刘玉翠,3
杨天经,陆骏光,3
朱茵,林伟,3
林伟,朱茵,3
蒋祖曼,张雷,3
张雷,蒋祖曼,3
张国荣,文雪儿,3
文雪儿,张国荣,3
甄志强,蔡晓仪,6
蔡晓仪,甄志强,6
潘志文,鲍起静,3
鲍起静,潘志文,3
佘诗曼,谢天华,4
谢天华,佘诗曼,4
陈国邦,李天翔,3
张国强,陈荣峻,10
张国强,郑家生 ,3
张国强,秦煌,4
陈荣峻,张国强,10
陈荣峻,郑家生 ,9
陈荣峻,秦煌,11
郑家生 ,张国强,3
郑家生 ,陈荣峻,9
郑家生 ,罗浩楷,4
李天翔,陈国邦,3
罗浩楷,郑家生 ,4
罗浩楷,秦煌,4
秦煌,张国强,4
秦煌,陈荣峻,11
秦煌,罗浩楷,4
鲍方,刘江,6
鲍方,李龙基,3
鲍方,蔡国庆,3
鲍方,郑家生 ,5
鲍方,陈荣峻,6
鲍方,梁舜燕,5
鲍方,罗兰,4
鲍方,孙季卿,10
鲁振顺,梁舜燕,5
鲁振顺,罗兰,4
王伟,郑柏麟,3
王伟,刘江,5
王伟,李龙基,3
王伟,蔡国庆,3
王伟,古明华,4
王伟,罗兰,4
王伟,孙季卿,6
郑柏麟,王伟,3
郑柏麟,古明华,3
郑柏麟,孙季卿,3
罗乐林,刘江,8
罗乐林,罗兰,3
黎汉持,刘江,4
黎汉持,黎耀祥,4
刘江,鲍方,6
刘江,王伟,5
刘江,罗乐林,8
刘江,黎汉持,4
刘江,李龙基,4
刘江,古明华,7
刘江,黎耀祥,6
刘江,陈荣峻,13
刘江,孙季卿,7
李龙基,鲍方,3
李龙基,王伟,3
李龙基,刘江,4
李龙基,陈荣峻,3
李龙基,罗兰,3
蔡国庆,鲍方,3
蔡国庆,王伟,3
蔡国庆,古明华,5
蔡国庆,陈荣峻,12
蔡国庆,罗兰,4
蔡国庆,孙季卿,5
朱铁和,黎耀祥,4
郑家生 ,鲍方,5
郑家生 ,古明华,4
郑家生 ,罗兰,3
郑家生 ,孙季卿,5
古明华,王伟,4
古明华,郑柏麟,3
古明华,刘江,7
古明华,蔡国庆,5
古明华,郑家生 ,4
古明华,陈荣峻,8
古明华,罗兰,4
古明华,孙季卿,4
黎耀祥,黎汉持,4
黎耀祥,刘江,6
黎耀祥,朱铁和,4
陈荣峻,鲍方,6
陈荣峻,刘江,13
陈荣峻,李龙基,3
陈荣峻,蔡国庆,12
陈荣峻,古明华,8
陈荣峻,罗兰,6
陈荣峻,孙季卿,7
梁舜燕,鲍方,5
梁舜燕,鲁振顺,5
罗兰,鲍方,4
罗兰,鲁振顺,4
罗兰,王伟,4
罗兰,罗乐林,3
罗兰,李龙基,3
罗兰,蔡国庆,4
罗兰,郑家生 ,3
罗兰,古明华,4
罗兰,陈荣峻,6
罗兰,孙季卿,4
孙季卿,鲍方,10
孙季卿,王伟,6
孙季卿,郑柏麟,3
孙季卿,刘江,7
孙季卿,蔡国庆,5
孙季卿,郑家生 ,5
孙季卿,古明华,4
孙季卿,陈荣峻,7
孙季卿,罗兰,4
吕颂贤,李香琴,3
李香琴,吕颂贤,3
单立文,罗乐林,3
罗乐林,单立文,3
吴岱融,刘美娟,3
刘美娟,吴岱融,3
欧阳震华,陶大宇,8
欧阳震华,宣萱,6
欧阳震华,陈芷菁,3
欧阳震华,林保怡,4
陶大宇,欧阳震华,8
陶大宇,苏永康,4
陶大宇,宣萱,4
苏永康,陶大宇,4
宣萱,欧阳震华,6
宣萱,陶大宇,4
宣萱,林保怡,8
陈芷菁,欧阳震华,3
陈芷菁,林保怡,3
林保怡,欧阳震华,4
林保怡,宣萱,8
林保怡,陈芷菁,3
欧阳震华,陈秀雯,4
陈秀雯,欧阳震华,4
陈秀雯,陶大宇,4
陈秀雯,苏永康,3
陶大宇,陈秀雯,4
苏永康,陈秀雯,3
陈秀雯,林保怡,3
陶大宇,梁婉静,3
林保怡,陈秀雯,3
梁婉静,陶大宇,3
米雪,刘松仁,6
刘松仁,米雪,6
江华,汤镇业,3
江华,郭锋,3
江华,刘宗基,3
汤镇业,江华,3
汤镇业,蔡晓仪,3
徐锦江,潘志文,3
蔡晓仪,汤镇业,3
蔡晓仪,潘志文,3
蔡晓仪,刘宗基,4
蔡晓仪,吴廷烨,4
蔡晓仪,罗烈,3
蔡晓仪,宗扬,3
潘志文,徐锦江,3
潘志文,蔡晓仪,3
潘志文,吴廷烨,4
潘志文,甄志强,3
潘志文,罗烈,4
郭锋,江华,3
刘宗基,江华,3
刘宗基,蔡晓仪,4
刘宗基,鲍起静,3
刘宗基,宗扬,3
吴廷烨,蔡晓仪,4
吴廷烨,潘志文,4
吴廷烨,姜皓文,3
吴廷烨,甄志强,4
吴廷烨,罗烈,3
吴廷烨,鲍起静,3
吴廷烨,黄树棠,3
姜皓文,吴廷烨,3
姜皓文,甄志强,3
姜皓文,鲍起静,3
甄志强,潘志文,3
甄志强,吴廷烨,4
甄志强,姜皓文,3
甄志强,罗烈,3
甄志强,鲍起静,7
罗烈,蔡晓仪,3
罗烈,潘志文,4
罗烈,吴廷烨,3
罗烈,甄志强,3
罗烈,鲍起静,3
鲍起静,刘宗基,3
鲍起静,吴廷烨,3
鲍起静,姜皓文,3
鲍起静,甄志强,7
鲍起静,罗烈,3
鲍起静,宗扬,4
黄树棠,吴廷烨,3
宗扬,蔡晓仪,3
宗扬,刘宗基,3
宗扬,鲍起静,4
张家辉,吕颂贤,3
陈丽云,刘宗基,5
陈丽云,谭少瑛,3
吕颂贤,张家辉,3
刘宗基,陈丽云,5
谭少瑛,陈丽云,3
吕颂贤,万绮雯,5
吕颂贤,秦沛,5
吕颂贤,伍咏薇,5
万绮雯,吕颂贤,5
万绮雯,秦沛,3
张家辉,高雄,3
秦沛,吕颂贤,5
秦沛,万绮雯,3
高雄,张家辉,3
伍咏薇,吕颂贤,5
伍咏薇,杨群,3
杨群,伍咏薇,3
黎姿,佘诗曼,3
佘诗曼,黎姿,3
佘诗曼,滕丽名,4
滕丽名,佘诗曼,4
林保怡,钟丽淇,3
林保怡,鲁文杰,3
陈慧珊,李国麟,3
陈慧珊,钟丽淇,3
李珊珊,陈少霞,3
李国麟,陈慧珊,3
李国麟,钟丽淇,3
李国麟,鲁文杰,3
钟丽淇,林保怡,3
钟丽淇,陈慧珊,3
钟丽淇,李国麟,3
钟丽淇,鲁文杰,3
陈少霞,李珊珊,3
鲁文杰,林保怡,3
鲁文杰,李国麟,3
鲁文杰,钟丽淇,3
欧阳震华,滕丽名,6
罗兰,张颖康,3
胡枫,吕慧仪,3
滕丽名,欧阳震华,6
滕丽名,刘江,3
刘江,滕丽名,3
张颖康,罗兰,3
吕慧仪,胡枫,3
吕慧仪,周骢,3
周骢,吕慧仪,3
吴镇宇,刘江,3
吴卓羲,胡定欣,8
黄宗泽,郭政鸿,3
苏玉华,卢宛茵,3
石修,河国荣,4
石修,骆应钧,4
韩马利,郭政鸿,3
胡定欣,吴卓羲,8
胡定欣,卢宛茵,3
胡定欣,刘江,4
胡定欣,姚莹莹,4
郭政鸿,黄宗泽,3
郭政鸿,韩马利,3
卢宛茵,苏玉华,3
卢宛茵,胡定欣,3
卢宛茵,刘江,5
卢宛茵,骆应钧,3
蔡国庆,邵卓尧,7
蔡国庆,骆应钧,6
蔡国庆,李国麟,6
苏恩磁,陈荣峻,10
苏恩磁,骆应钧,3
陈荣峻,苏恩磁,10
陈荣峻,黄纪莹,3
陈荣峻,邵卓尧,14
陈荣峻,骆应钧,7
陈荣峻,李国麟,6
刘江,吴镇宇,3
刘江,胡定欣,4
刘江,卢宛茵,5
刘江,陈秀珠,6
刘江,邵卓尧,9
刘江,骆应钧,5
刘江,李国麟,8
河国荣,石修,4
黄纪莹,陈荣峻,3
黄纪莹,邵卓尧,3
姚莹莹,胡定欣,4
陈秀珠,刘江,6
邵卓尧,蔡国庆,7
邵卓尧,陈荣峻,14
邵卓尧,刘江,9
邵卓尧,黄纪莹,3
邵卓尧,骆应钧,5
邵卓尧,李国麟,4
骆应钧,石修,4
骆应钧,卢宛茵,3
骆应钧,蔡国庆,6
骆应钧,苏恩磁,3
骆应钧,陈荣峻,7
骆应钧,刘江,5
骆应钧,邵卓尧,5
骆应钧,李国麟,5
李国麟,蔡国庆,6
李国麟,陈荣峻,6
李国麟,刘江,8
李国麟,邵卓尧,4
李国麟,骆应钧,5
米雪,梁小龙,4
梁小龙,米雪,4
温兆伦,宣萱,3
吴启华,宣萱,3
宣萱,温兆伦,3
宣萱,吴启华,3
万梓良,张卫健,3
吕良伟,关海山,5
关海山,吕良伟,5
关海山,陈敏儿,4
陈敏儿,关海山,4
张卫健,万梓良,3
徐少强,蔡晓仪,3
蔡晓仪,徐少强,3
罗嘉良,郭少芸,3
关海山,刘江,5
关海山,何壁坚,3
艾威,梁健平,9
艾威,刘江,6
艾威,李丽丽,5
艾威,王伟梁,9
艾威,何壁坚,7
艾威,陈中坚,6
艾威,谭一清,7
艾威,虞天伟,5
艾威,李炜祺,4
艾威,关菁,4
艾威,温双燕,3
艾威,孙季卿,6
艾威,罗国维,4
艾威,王维德,5
郭少芸,罗嘉良,3
郭少芸,梁葆贞,4
郭少芸,冯素波,3
梁葆贞,郭少芸,4
梁葆贞,冯素波,4
梁葆贞,刘江,3
梁葆贞,虞天伟,3
梁健平,艾威,9
梁健平,刘江,4
梁健平,李丽丽,6
梁健平,王伟梁,11
梁健平,何壁坚,6
梁健平,陈中坚,7
梁健平,谭一清,10
梁健平,虞天伟,6
梁健平,李炜祺,4
梁健平,关菁,6
梁健平,温双燕,3
梁健平,孙季卿,7
梁健平,罗国维,6
梁健平,王维德,8
冯素波,郭少芸,3
冯素波,梁葆贞,4
冯素波,刘江,4
刘江,关海山,5
刘江,艾威,6
刘江,梁葆贞,3
刘江,梁健平,4
刘江,冯素波,4
刘江,李丽丽,4
刘江,王伟梁,4
刘江,何壁坚,3
