剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
大明王朝1566,2007,张黎,刘和平,陈宝国 / 黄志忠 / 倪大红 / 王庆祥 / 郭东文 / 郑玉 / 张子健 / 闫妮 / 王雅捷 / 祝希娟 / 王劲松 / 赵立新 / 徐敏 / 郭广平 / 谭凯 / 肖竹 / 甘雨 / 张志坚 / 刘毓滨 / 晋松 / 徐光明 / 刘立伟 / 赵雍 / 徐成峰 / 王宇 / 陈之辉 / 杨涵斌 / 王戎 / 马小宁 / 胡灵灵 / 林海韵 / 三浦研一 / 穆泓屹 / 李婧 / 浅野长英,剧情 / 历史,中国大陆,46,42,9.7,55498
走向共和,2003,张黎,盛和煜 / 张建伟,王冰 / 吕中 / 马少骅 / 孙淳 / 李光洁 / 孙宁 / 徐敏 / 郑天庸 / 戈治均 / 廖丙炎 / 张洪睿,剧情 / 历史,中国大陆,59,45,9.7,34793
红楼梦,1987,王扶林,曹雪芹 / 周雷 / 刘耕路 / 周岭,欧阳奋强 / 陈晓旭 / 邓婕 / 张莉 / 李婷 / 袁玫 / 张蕾 / 郭霄珍 / 周贤珍 / 郑铮 / 高宏亮 / 潘虹 / 东方闻樱 / 李颉 / 王贵娥 / 夏明辉 / 胡泽红 / 马广儒 / 金莉莉 / 马加奇 / 沈琳 / 安雯 / 陈剑月 / 沙玉华 / 牟一 / 夏丽蓉 / 姬玉 / 孙梦泉 / 李志新 / 杨俊勇 / 吴晓东 / 王羊 / 站爱霞 / 苏秋冬 / 王蔚 / 侯长荣 / 李伊 / 刘继红 / 张迎玖 / 谷童 / 沈璐 / 张明明 / 周月 / 王萱 / 李玥 / 徐丽霞 / 陈力 / 李楠 / 杨小珍 / 韩流流,剧情 / 爱情 / 古装,中国大陆,36,45,9.6,77398
毛骗,2015,李洪绸 / 邢冬冬 / 汪小壹,李洪绸,杨羽 / 邵庄 / 安宁 / 邢冬冬 / 黎伟 / 汪小壹 / 王思宇 / 耿晓辉 / 石晓东 / 毕晨曦 / 包志强 / 姚梦,悬疑 / 犯罪,中国大陆,10,60,9.6,26619
西游记,1986,杨洁,吴承恩 / 戴英禄 / 杨洁 / 邹忆青,六小龄童 / 迟重瑞 / 马德华 / 汪粤 / 徐少华 / 闫怀礼 / 朱龙广 / 左大玢 / 张志明 / 章玉善 / 王忠信 / 许晴,剧情 / 动作 / 奇幻 / 冒险 / 古装,中国大陆,25,45,9.5,103662
百家讲坛：大隋风云,2011,,,蒙曼,历史,中国大陆,29,40,9.5,158
向阳理发店,2001,尚敬,,侯勇 / 杨青 / 薛俨,剧情 / 喜剧,中国大陆,80,,9.5,200
生存之民工,2005,管虎 / 康宁,李晓兵 / 吴山,陶泽如 / 丁勇岱 / 马少骅 / 黄渤 / 雪村 / 孙松 / 王小毅 / 高秀敏 / 沙景昌 / 吕夏 / 丁宁 / 胡龙吟 / 赵亚波 / 公磊 / 王希 / 张小磊 / 胡晓光,剧情,中国大陆,34,42,9.5,6558
武林外传,2006,尚敬,宁财神,闫妮 / 姚晨 / 沙溢 / 喻恩泰 / 姜超 / 倪虹洁 / 王莎莎 / 范明 / 肖剑,喜剧 / 武侠 / 古装,中国大陆,80,40,9.4,157878
福贵,2005,朱正 / 袁进,谢丽虹 / 郭剑一,陈创 / 刘敏涛 / 李丁,剧情 / 家庭,中国大陆,33,46,9.4,5717
光明世界,1997,诺埃尔·普赖斯,Mark Shirrefs / 约翰·汤姆森,瑞恩·柯万腾 / 王亚楠 / 周野芒,家庭 / 冒险,澳大利亚 / 波兰 / 中国大陆,26,,9.4,570
丧钟为谁而鸣：远东国际军事法庭审判纪实,2004,张焰,,,,中国大陆,7,40,9.3,146
小小生命树,1997,虞志敏,刘文惠,卞涛 / 左翎 / 梅关雪 / 顾菲菲 / 曹漪姝 / 李宗华 / 李剑平 / 左浩 / 李潇廷 / 马蕾蕾 / 王劲松 / 剧雪 / 何群 / 庄瑾 / 魏辰然 / 胡磊,,中国大陆,8,,9.3,66
粉墨宝贝,2015,,林政德,,儿童 / 戏曲,中国大陆 / 台湾,12,,9.3,70
双筒望远镜,1997,庞好,孟宪明 / 庞好,曹驰 / 曹骋,,中国大陆,20,,9.3,49
王先生和小陈,1997,,,严顺开 / 林锡彪,,中国大陆,40,,9.3,119
老坎客栈,2002,熊郁,杨椽,庞祖云 / 媛凤 / 徐玉琨,,中国大陆,60,,9.3,116
东寺街西寺巷,2003,周瑜 / 盛雪松,5h4m3w,夏嘉伟 / 何雨霏 / 孙云昆 / 余爱民,,中国大陆,52,,9.3,128
牵手人生,2003,谢晋,喻榮軍,黄海波 / 丁丹妮 / 陳淑麗,,中国大陆,22,,9.3,79
俞淨意公遇灶神記,俞淨意公遇灶神記,王時正 / 淨空法師（總指導顧問）,王時正,賀強 / 秋琪 / 楊猛,剧情 / 古装,中国大陆,8,,9.3,222
假打外传,2000,熊小田,熊小田,李伯清 / 沈伐 / 刘军 / 胡红燕,剧情 / 喜剧,中国大陆,21,40,9.3,157
九班的故事,2000,宋昭,,王瑞虹,,中国大陆,10,,9.3,50
人与自然,1994,,,赵忠祥,,中国大陆,,,9.3,72
济公活佛,1990,杨洁,张挺,游本昌 / 黄宗洛 / 臧金生,奇幻 / 古装,中国大陆,4,55,9.3,1892
百家讲坛,2007,,,蒙曼,,中国大陆,32,45,9.3,515
父母爱情,2014,孔笙,刘静,郭涛 / 梅婷 / 王菁华 / 郭广平 / 张延 / 刘琳 / 任帅 / 刘奕君 / 娜仁花 / 毕彦君 / 贾延鹏 / 关晓彤 / 方慧 / 黄诗佳 / 张陆 / 张龄心 / 杨立新 / 刘天池 / 刘敏涛 / 王永泉 / 赵千紫 / 杨司晨 / 崔明浩 / 石云鹏 / 柳明明 / 张娇娇 / 陈雅熙 / 张乐昊旻 / 彭婧 / 张琛 / 李金江 / 赵一龙 / 郭鹏 / 李超 / 王宏 / 张昕琦 / 张昕瑶 / 柳莹 / 战鹤文 / 陈旭 / 黄海 / 张九妹 / 林龙麒 / 王丹彤 / 王天泽 / 李小川 / 吕添尧 / 刘凌志 / 杨晓丹 / 张元戎 / 黄岗 / 王仪伟 / 傅晓娜 / 兰娟 / 阚博 / 蒋雯丽 / 杨心仪 / 江昊桐,爱情 / 家庭,中国大陆,44,45,9.3,37743
