剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
风雨唐人街,2012,周力,吕红 / 严歌苓,黄觉 / 寇世勋 / 李立,剧情 / 爱情 / 历史,中国大陆,26,40,6.7,37
真情错爱,真情错爱,汪沛勲,史海伟,秦岚 / 冯雷 / 张少华 / 赵亮,,中国大陆,30,,6.6,94
缉毒精英,2013,惠楷栋,王军,邢佳栋 / 岳跃 / 冯国强 / 王海燕 / 陈刚 / 石凉 / 杨童舒 / 张晞临,剧情 / 犯罪,中国大陆,26,45,6.6,40
十里香大酒坊,2014,刘家成,马继红 / 高军 / 徐江 / 吕扬尘,任程伟 / 苏岩 / 胡可,历史,中国大陆,30,,6.6,37
带着孩子结婚,2004,英达,梁欢,蔡明 / 英壮,喜剧,中国大陆,40,25,6.5,226
海天之恋,2008,宁海强,李忠效,王强 / 宋运城 / 孙洪涛 / 刘之冰,剧情,中国大陆,26,,6.5,54
女子军魂,2012,管虎,张晓虎,闫妮 / 耿乐 / 胡晓光 / 倪虹洁 / 徐冬梅,剧情 / 爱情 / 历史 / 战争,中国大陆,32,,6.5,62
人参,2015,柯仲华 / 石岚 / 魏锋 / 褚金萍 / 谭晓华,,,,中国大陆,6,24,6.5,59
缉毒先锋,2009,惠楷栋 / 王军,王军,石凉 / 冯国强 / 杨童舒,,中国大陆,27,,6.5,63
长白山下我的家,2012,王志强,李汀,白威 / 张琳 / 孙茜 / 陈逸恒 / 丛珊 / 朱翊,,中国大陆,29,,6.5,75
粉领一族,2006,孔刚 / 黄葆华,庄训鑫,曾宝仪/王喜/许志安 / 陈司瀚/明丽/任天野/谭歆柔,,中国大陆,30,,6.5,62
亲密爱人,2000,,,丁子峻 / 李冰冰 / 刘孜,爱情,中国大陆,18,,6.5,61
七品钦差,2001,谭智桐,方天民 / 谭智桐,牛振华 / 吕丽萍 / 徐峥 / 付连智 / 周莉 / 贾兆冀 / 秦焰 / 吴樾 / 代乐乐 / 李蓬 / 寇占文 / 曹梦 / 刘丹 / 徐福来 / 孟俊泉 / 龙苗,剧情,中国大陆,20,,6.5,53
女特警,2008,朱德承,泳群 / 张健,成晖 / 佟大为 / 陈丽娜,剧情 / 爱情,中国大陆,25,40,6.5,78
真爱一世情,2003,罗灿然 / 陆军,,陈德容 / 张世 / 奚美娟 / 陈莎莉 / 高明 / 王中皇 / 齐千郡,,中国大陆,28,,6.5,86
天堂秀,2012,黄建中,孙泱,陆毅 / 韩智慧,爱情 / 家庭 / 传记,中国大陆,30,45,6.5,97
你永远不会独行,2009,张建栋,饶晖,赵子琪 / 刘芸 / 张博 / 牛青峰 / 李野萍 / 张谦 / 胡小庭 / 常波 / 柏寒 / 姚卓君 / 杨子骅 / 冯恩鹤 / 曹卫宇 / 李光复 / 石燕京,剧情 / 家庭,中国大陆,25,,6.5,86
当人心遇上仁心,2013,郭廷波,毓祺,郑国霖 / 杨恭如 / 娜仁花 / 岳红 / 郭珍霓 / 常铖 / 黄俊鹏 / 潘虹 / 宫筱轩,剧情 / 爱情 / 家庭,中国大陆,34,42,6.5,111
地道英雄,2009,丁黑,陈金海,何冰 / 陈小艺 / 王宁,,中国大陆,10,,6.5,54
天堂鸟,2003,张健,薛晓路 / 朱艳,刘蓓 / 丁志城 / 李幼斌 / 吴秀波,,中国大陆,20,,6.5,53
第一茶庄,2007,袁英明,方泓仁,黄少祺 / 秦岚 / 寇世勋 / 吴竞,剧情 / 家庭,中国大陆,30,,6.5,57
故事2000,2000,徐纪宏,,程前 / 史可 / 吴京安 / 崔杰,剧情 / 家庭,中国大陆,18,40,6.5,92
禁区,2009,李骏 / 杨新宇,张莱 / 李晖 / 索冰,张丰毅 / 王学圻 / 巍子 / 子义,动作 / 爱情 / 悬疑 / 惊悚,中国大陆,30,,6.5,49
逼子成龙,2003,吴培民,贺国甫,陈寒柏 / 宋丹丹 / 孟智超 / 沈荣海 / 胡晴云 / 朱茵,剧情 / 喜剧,中国大陆,20,,6.5,51
血战崆峒,1996,,,南晓红 贺林 张凡 麻建刚 胡耀文 樊琦,,中国大陆,22,,6.5,40
