剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
天地风云录之决战时刻,2012,黃立綱,三弦、罗陵、苏玟、素文,史艳文 / 藏镜人 / 神蛊温皇 / 黑白郎君,剧情 / 动作 / 武侠,台湾,20,58,9.6,492
天地风云录之九龙变,2012,黃立綱,,,奇幻 / 武侠 / 古装,台湾,36,,9.6,485
天地风云录之剑影魔踪,2013,黃立綱,三弦 素文,,剧情 / 奇幻 / 武侠,台湾,20,60,9.5,364
霹雳兵燹之刀戟戡魔录,2005,黄文择,,黄文择口白,剧情 / 动作 / 武侠 / 古装,台湾,30,,9.4,710
霹雳兵燹之刀戟戡魔录2,2005,黄文择,,黄文择口白,剧情 / 动作 / 武侠 / 古装,台湾,40,,9.4,608
霹雳剑踪,2005,黄文择,,黄文择口白,武侠 / 舞台艺术,台湾,30,,9.4,1407
金光御九界之墨武侠锋,2014,周俊豪 / 王钟庆 / 黄立纲,三弦 / 季电 / 傲绝,,奇幻 / 武侠 / 古装,台湾,32,90,9.4,345
天地风云录之魔戮血战,2014,黃立綱,三弦 / 素文,,奇幻 / 武侠,台湾,34,1~20集60分钟 / 21~34集90,9.3,338
粉墨宝贝,2015,,林政德,,儿童 / 戏曲,中国大陆 / 台湾,12,,9.3,70
霹雳狂刀,1993,黄文择,黄强华 / 黄文择,黄文择口白,剧情,台湾,60,55,9.3,270
后山日先照,2002,李岳峰,吳豐秋,张美瑶 / 梁修身 / 江祖平,,台湾,20,,9.3,76
一把青,2015,曹瑞原,黄世鸣 / 白先勇,杨谨华 / 天心 / 连俞涵 / 吴慷仁 / 杨一展 / 蓝钧天 / 温贞菱 / 钟承翰 / 李程彬 / 施名帅 / 李劭婕 / 欧阳姗 / 博焱 / 蔡力允 / 庄心瑜 / 班铁翔 / 周厚安 / 樊光耀 / 潘之敏 / 饶星星 / 高英轩 / 杨小黎 / 司徒颖霜 / 邱逸峰 / 周洺甫 / 吴芮甄 / 黄尚禾 / 黄健玮 / 邓九云 / 丁强 / 查尔斯·威廉斯,剧情 / 爱情,台湾,31,50,9.3,9336
流氓教授,2001,游坚煜 / 刘俊杰 / 欧阳升,林建隆 / 徐誉庭 / 周平之 / 林旻俊 / 方静仪 / 杜政哲 / 赖正杰 / 彭盛青,王识贤 / 潘仪君 / 杨烈 / 李興文 / 沈世朋 / 周幼婷,,台湾,63,60,9.2,54
玉琳国师之再世情缘,1992,勾峰,星云大师,杨庆煌 / 况明洁 / 铁孟秋 / 曹健,古装,台湾,33,,9.2,493
光阴的故事,2008,陈俊良 / 万东文,王伟忠,陈怡蓉 / 赖雅妍 / 纪文蕙 / 小甜甜 / 杨一展 / 马念先 / 寇家瑞 / 林雨宣 / 黄腾浩,剧情,台湾,107,45,9.2,5983
花甲男孩转大人,2017,瞿友宁 / 李青蓉,杨富闵 / 杨璧莹 / 吴翰杰 / 詹俊杰,卢广仲 / 龙劭华 / 康晋荣 / 柯叔元 / 王彩桦 / 今子嫣 / 阮氏翠恒 / 海芬 / 严正岚 / 刘冠廷 / 江沂宸 / 林意箴 / 江常辉 / 曲献平 / 叶辰莛 / 颜毓麟 / 范足妹 / 杨琼华 / 阮安妮 / 谢盈萱 / 蔡振南 / 赵乙丞 / 邱宇婕,剧情,台湾,7,95,9.2,2299
云州大儒侠史艳文,2000,黄立纲,黄俊雄 / 黄凤仪,黄俊雄,,台湾,50,,9.1,572
草山春晖,2005,鄧安寧,,杨丽音 / 霍正奇 / 曾国城,,台湾,56,,9.1,52
危险心灵,2006,易智言 / 杨雅喆,易智言 / 蔡宗翰 / 简士耕 / 郑仰山 / 王纪尧 / 雷建容 / 连凯鸿,黄河 / 桂纶镁 / 李烈 / 温升豪 / 高捷 / 关勇 / 张书豪 / 蔡灿得,剧情,台湾,30,,9.1,1584
新白娘子传奇,1992,夏祖辉 / 何麒,贡敏 / 赵文川 / 方桂兰 / 何冀平 / 夏祖辉 / 何麒,赵雅芝 / 叶童 / 陈美琪 / 石乃文 / 夏光莉 / 乾德门 / 尹宝莲 / 阮虔芷,爱情 / 奇幻 / 古装,台湾,50,49,9.0,90386
霹雳震寰宇之刀龙传说,2009,黄文择,黄强华,黄文择口白,剧情 / 动作 / 科幻 / 武侠 / 古装 / 鬼怪,台湾,40,63分钟 40,9.0,698
名扬四海,2003,蔡岳勋,,尤秋兴 / 张惠春 / 虞小卉 / 唐治平 / 修杰楷 / 刘亮佐 / 蔡淑臻 / 黄芝琪,剧情 / 爱情 / 家庭,台湾,28,60,9.0,546
绿宫秘史,2013,陈奕仁,,史俊威 / 谢馨仪 / 龚钰祺 / 吴青峰 / 刘家凯 / 何景扬,喜剧,台湾,5,,9.0,227
绝地花园：八个罕见病友的真情故事,2004,蔡明亮 / 李康生 / 王明台 / 瞿友寧 / 杨雅喆 / 王小棣 / 陈若菲 / 安哲毅,,萬芳 / 高捷,剧情,台湾,8,,9.0,52
牵纸鹤的手,2010,许肇任 / 林志儒,吕莳媛 / 林欣慧 / 吴维君 / 林纯华,吴中天 / 巫建和 / 陈靖婕 / 邓志鸿 / 林志儒 / 王月 / 丁也恬 / 吴朋奉 / 柯淑勤 / 张少怀,,台湾,20,,9.0,49
霹雳异数,1990,黄文择,,黄文择口白,,台湾,40,75,8.9,112
霹雳神州,霹靂神州,黄文择,黄强华,黄文择口白,,台湾,30,,8.9,340
我可能不会爱你,2011,瞿友宁,徐誉庭,林依晨 / 陈柏霖 / 王阳明 / 陈匡怡 / 陆明君 / 黄志玮 / 孟耿如 / 林美秀 / 罗北安 / 应蔚民 / 殷琦 / 金士杰 / 李维维 / 余函弥 Bonnie / 许豪恩 / 曾之乔 / 马囡 / 谢宇威 / 余昱纬 / 余怡萱 / 刘引商 / 张萍萍 / 周丹薇 / 马世莉 / 安唯绫 / 丫子 / 蔡昌宪 / 曾威豪 / 刘以豪 / 马念先 / 林宗仁 / 陈文彬 / 刘晓忆 / 方炯镔 / 刘子绚 / 万芳 / 任淇 / 富富 / 徐宛铃 / 林志儒 / 瞿友宁 / 林政逸 / 陈奕达 / 季芮彤 / 篠崎翎榕 / 朱丽君 / 游家玮 / 杨志龙 / 荣忠豪 / 杜俊伟 / 丸子 / 单承矩 / 张家云 / 王恩德 / 江明娟 / 柯逸华 / 黄熊金盆 / 陈罗蜜欧 / 沈炜竣 / 宜萱老师 / 邱彦翔 / 励政达 / 詹乃蓁,爱情,台湾,13,90分钟(首播版) / 60分钟(海外版),8.9,144795
江湖奇侠传,1997,鞠觉亮 / 陈鸿烈,丁善玺,郑少秋 / 梁琤 / 陈鸿烈,历史 / 武侠 / 古装,台湾,59,45,8.9,524
风中绯樱－雾社事件,2003,万仁,邱若龙,高慧君 / 马志翔 / 蘇清喜,,台湾,20,50,8.8,40
